species,common,foraging,trophic,nest,habitat,migratory
ACFL,ACADIAN FLYCATCHER,aerial,insectivore,cup-tree,forest,nt
AMCR,AMERICAN CROW,ground,omnivore,cup-tree,open,r
AMGO,AMERICAN GOLDFINCH,foliage,granivore,cup-shrub,open,t
AMRE,AMERICAN REDSTART,aerial,insectivore,cup-tree,forest,nt
AMRO,AMERICAN ROBIN,ground,insectivore,cup-tree,open,t
BAOR,BALTIMORE ORIOLE,foliage,insectivore,cup-tree,open,nt
BARS,BARN SWALLOW,aerial,insectivore,cavity-edificarian,open,nt
BGGN,BLUE-GRAY GNATCATCHER,foliage,insectivore,cup-tree,forest,nt
BHCO,BROWN-HEADED COWBIRD,ground,insectivore,cup-shrub,open,r
BLJA,BLUE JAY,ground,omnivore,cup-tree,forest,r
BRTH,BROWN THRASHER,ground,omnivore,cup-shrub,scrub,t
BWWA,BLUE-WINGED WARBLER,foliage,insectivore,cup-ground,open,nt
CACH,CAROLINA CHICKADEE,foliage,insectivore,cavity-tree,forest,r
CARW,CAROLINA WREN,ground,insectivore,cavity-tree,open,r
CEDW,CEDAR WAXWING,foliage,frugivore,cup-tree,open,t
CHSP,CHIPPING SPARROW,ground,granivore,cup-shrub,open,t
COGR,COMMON GRACKLE,ground,omnivore,cup-tree,open,r
COHA,COOPER'S HAWK,aerial,carnivore,cup-tree,forest,r
COYE,COMMON YELLOWTHROAT,foliage,insectivore,cup-shrub,scrub,nt
CSWA,CHESTNUT-SIDED WARBLER,foliage,insectivore,cup-shrub,open,nt
DOWO,DOWNY WOODPECKER,bark,insectivore,cavity-tree,forest,r
EABL,EASTERN BLUEBIRD,aerial,insectivore,cavity-tree,open,t
EAKI,EASTERN KINGBIRD,aerial,insectivore,cup-tree,open,nt
EAPH,EASTERN PHOEBE,aerial,insectivore,cavity-edificarian,open,t
EATO,EASTERN TOWHEE,ground,omnivore,cup-ground,scrub,t
EAWP,EASTERN WOOD-PEWEE,aerial,insectivore,cup-tree,forest,nt
ETTI,TUFTED TITMOUSE,foliage,insectivore,cavity-tree,forest,r
EUST,EUROPEAN STARLING,ground,omnivore,cavity-edificarian,open,r
FICR,FISH CROW,ground,omnivore,cup-tree,water,r
FISP,FIELD SPARROW,ground,insectivore,cup-ground,scrub,r
GCFL,GREAT-CRESTED FLYCATCHER,aerial,insectivore,cavity-tree,open,nt
GRCA,GRAY CATBIRD,ground,insectivore,cup-shrub,open,nt
HAWO,HAIRY WOODPECKER,bark,insectivore,cavity-tree,forest,r
HOFI,HOUSE FINCH,ground,granivore,cup-shrub,open,r
HOSP,HOUSE SPARROW,ground,omnivore,cavity-edificarian,open,r
HOWA,HOODED WARBLER,foliage,insectivore,cup-shrub,forest,nt
HOWR,HOUSE WREN,ground,insectivore,cavity-tree,open,nt
INBU,INDIGO BUNTING,ground,insectivore,cup-shrub,open,nt
MODO,MOURNING DOVE,ground,granivore,cup-tree,open,r
NOCA,NORTHERN CARDINAL,ground,omnivore,cup-shrub,open,r
NOMO,NORTHERN MOCKINGBIRD,ground,insectivore,cup-shrub,open,r
NOPA,NORTHERN PARULA,foliage,insectivore,cup-tree,forest,nt
OROR,ORCHARD ORIOLE,foliage,insectivore,cup-tree,open,nt
OVEN,OVENBIRD,ground,insectivore,cup-ground,forest,nt
PIWO,PILEATED WOODPECKER,bark,insectivore,cavity-tree,forest,r
PROW,PROTHONOTARY WARBLER,bark,insectivore,cavity-tree,forest,nt
PUMA,PURPLE MARTIN,aerial,insectivore,cavity-tree,water,nt
RBNU,RED-BREASTED NUTHATCH,bark,insectivore,cavity-tree,forest,t
RBWO,RED-BELLIED WOODPECKER,bark,insectivore,cavity-tree,forest,r
REVI,RED-EYED VIREO,aerial,insectivore,cup-tree,forest,nt
ROPI,ROCK PIGEON,ground,omnivore,cavity-edificarian,open,r
RSHA,RED-SHOULDERED HAWK,aerial,carnivore,cup-tree,forest,t
RTHU,RUBY-THROATED HUMMINGBIRD,aerial,nectarivore,cup-tree,open,nt
RWBL,RED-WINGED BLACKBIRD,ground,insectivore,cup-shrub,water,r
SCTA,SCARLET TANAGER,aerial,insectivore,cup-tree,forest,nt
SOSP,SONG SPARROW,ground,insectivore,cup-shrub,open,r
SSHA,SHARP-SHINNED HAWK,aerial,carnivore,cup-tree,forest,r
WAVI,WARBLING VIREO,foliage,insectivore,cup-tree,open,nt
WBNU,WHITE-BREASTED NUTHATCH,bark,insectivore,cavity-tree,forest,r
WEWA,WORM-EATING WARBLER,foliage,insectivore,cup-ground,forest,nt
WOTH,WOOD THRUSH,ground,insectivore,cup-tree,forest,nt
YBCH,YELLOW-BREASTED CHAT,foliage,insectivore,cup-shrub,scrub,nt
YBCU,YELLOW-BILLED CUCKOO,foliage,insectivore,cup-tree,open,nt
YSFL,YELLOW-SHAFTED FLICKER,bark,insectivore,cavity-tree,open,r
