"site","X","Y","can","imp"
"ADAMNODVA1",303359,4292408,47.457604426633,15.1058060953942
"ADRINODMD1",359254,4358706,41.1667562379154,12.9800359003745
"AMERTINMD1",353989,4307825,23.9924464470516,4.40593156819164e-06
"ANDEMIKMD1",365427,4284837,75.8824271494378,5.08823686795299
"ANDRKENVA1",296758,4310941,85.5755566924545,0.628735206108168
"ANDRSHEVA1",314339,4308814,23.0370873334851,29.0557943534987
"ASSMCARMD1",321859,4317219,84.1569834786443,1.58266588918633
"BAINANDMD1",322188,4318117,26.9545940560928,21.4401363865668
"BAKEKYLDC1",323133,4312090,38.5208382835656,22.0059484727415
"BALAELEMD1",314332,4315555,48.7864986172716,15.3554442735981
"BALASUCMD1",330791,4319311,65.4844914231223,14.8365922411122
"BARBJERMD1",373506,4330349,38.0901967266546,14.5384633474753
"BARNDORMD1",326629,4315797,61.8668146313637,13.9139363577706
"BAUGSHEVA1",295627,4310054,90.8226517356954,0.579003930204866
"BEALTOMMD1",344534,4315429,65.9687584522495,8.15765445273879
"BERGMICMD1",330969,4321981,67.1307700118772,2.4388991676749
"BERNCHRMD1",395186,4292723,35.9776842756849,5.83844754747448
"BLANBETMD1",366415,4329594,55.4566247342889,10.9265822758211
"BLOCDAVMD1",326359,4315991,52.8612544488077,18.6143941765826
"BOONGREMD1",360143,4360156,27.3674265026678,20.4886890661179
"BORGRACMD1",359227,4349589,0,78.2344681738256
"BRENSTEMD1",326086,4279059,46.6698652678807,7.32610860888281
"BRIGGERMD1",337746,4318715,47.4318966566852,34.0030011502655
"BRIGKIMMD1",366190,4331973,6.77399858800624,47.5602788966842
"BROWANNDC1",321940,4307690,0.0988211323991127,73.3039331860413
"BROWANNMD1",371339,4313671,10.1726732527451,6.92170362227977
"BRUNELIMD1",317880,4323087,27.4049905773089,22.3545351643703
"BUISNORVA1",303201,4290533,74.6320850149724,3.42173631846234
"BURDROBVA1",290201,4304592,18.3225374807714,26.9589561352254
"BURKSANMD1",319312,4316709,56.2647238033779,5.66762851085148
"BURNNANMD1",402220,4287691,25.7946942963397,2.07957143463443
"BURRHEAMD1",364866,4312243,34.3386223545171,19.2711014200496
"BURRHEAMD2",375038,4322214,28.7508089974994,18.3779811108889
"CAINBRIMD1",370975,4313449,15.0175464884209,20.8707807074862
"CALLNODMD1",330599,4312231,22.0722289705113,41.3320994428476
"CAMPGLOMD1",333123,4325468,43.0205896148527,10.5168471384101
"CAMPLIBMD1",324029,4282747,89.9091055590897,1.13212120161173
"CAMPROSMD1",324891,4320298,68.9495016172568,6.69099945711978
"CANTBOBMD1",307080,4318854,60.2002444311542,0.895279915409298
"CARLSHIMD1",363189,4361832,36.9594028074149,19.1834772299002
"CAUSSUSMD1",312486,4351978,31.4479790974378,0.305257837147148
"CLARCOLDC1",322492,4309859,2.67941848590261,63.3381494198642
"CLARCOLVA1",295132,4277282,59.9198567232643,10.3963586103707
"CLARKELMD1",362946,4316445,38.6268404754781,12.537572964646
"COFFMICMD1",370571,4310786,45.9140334508865,11.0597534150814
"COLALISMD1",328264,4353010,5.99834022821669,0
"COLSKATMD1",340653,4335767,55.653381189384,14.0539367450066
"CONAGAIMD1",341753,4354667,81.6810357896016,0
"CONNDAVMD1",336431,4331163,51.7356589701005,9.15740084280143
"CORCJOEMD1",346441,4347859,56.0431412719342,15.042463846857
"CORCLINMD2",347089,4347872,44.8489688935852,15.0330731783352
"COULMARMD1",362323,4328154,54.3916591239975,6.44701890848278
"COURNODDC1",327440,4306024,3.33096969061961,59.1073740461633
