"site","year","species","d10","d20","d30","d40","d50"
"ANDRKENVA1",2009,"amcr",0,2,0,0,0
"ANDRKENVA1",2009,"cach",0,1,0,0,0
"ANDRKENVA1",2009,"carw",0,0,0,0,1
"ANDRKENVA1",2009,"dowo",1,0,0,0,0
"ANDRKENVA1",2009,"eato",0,1,0,1,0
"ANDRKENVA1",2009,"howr",0,1,0,0,0
"ANDRKENVA1",2009,"noca",0,1,1,1,0
"ANDRKENVA1",2010,"amgo",0,0,0,0,2
"ANDRKENVA1",2010,"cach",1,0,0,1,0
"ANDRKENVA1",2010,"tuti",0,0,2,0,0
"ASSMCARMD1",2009,"amro",3,1,0,0,0
"ASSMCARMD1",2009,"bhco",0,1,0,0,0
"ASSMCARMD1",2009,"carw",2,0,1,0,0
"ASSMCARMD1",2009,"dowo",0,1,0,0,0
"ASSMCARMD1",2009,"grca",2,0,0,0,0
"ASSMCARMD1",2009,"noca",0,3,0,0,0
"ASSMCARMD1",2009,"ysfl",0,1,0,0,0
"ASSMCARMD1",2010,"amgo",0,0,0,1,0
"ASSMCARMD1",2010,"amro",0,0,0,1,0
"ASSMCARMD1",2010,"grca",0,0,0,0,1
"ASSMCARMD1",2010,"noca",0,0,0,2,0
"ASSMCARMD1",2010,"sosp",0,0,0,0,1
"ASSMCARMD1",2010,"wbnu",0,0,0,0,1
"ASSMCARMD1",2012,"amro",0,1,1,0,0
"ASSMCARMD1",2012,"grca",0,0,1,1,0
"ASSMCARMD1",2012,"modo",0,0,0,0,1
"ASSMCARMD1",2012,"noca",0,0,0,1,1
"ASSMCARMD1",2012,"rbwo",0,0,0,0,1
"ASSMCARMD1",2012,"sosp",0,0,0,1,0
"ASSMCARMD1",2012,"wbnu",1,0,0,0,0
"BAINANDMD1",2009,"amro",0,2,0,0,0
"BAINANDMD1",2009,"grca",0,1,0,0,0
"BAINANDMD1",2009,"hofi",1,0,0,0,0
"BAINANDMD1",2009,"howr",3,0,0,0,0
"BAINANDMD1",2009,"modo",0,1,0,0,0
"BAINANDMD1",2009,"noca",2,3,0,0,0
"BAINANDMD1",2009,"sosp",2,2,0,0,0
"BAINANDMD1",2010,"amro",1,0,1,0,0
"BAINANDMD1",2010,"grca",0,1,0,0,0
"BAINANDMD1",2010,"howr",0,0,1,0,0
"BAINANDMD1",2010,"noca",0,0,0,1,0
"BAINANDMD1",2010,"nomo",3,0,1,0,0
"BAINANDMD1",2010,"sosp",1,0,0,0,1
"BAINANDMD1",2010,"ysfl",0,0,0,1,0
"BAINANDMD1",2012,"amro",0,2,2,1,0
"BAINANDMD1",2012,"cogr",0,0,2,0,0
"BAINANDMD1",2012,"grca",0,3,0,0,0
"BAINANDMD1",2012,"hofi",0,1,0,0,0
"BAINANDMD1",2012,"howr",1,0,0,0,0
"BAINANDMD1",2012,"modo",0,0,0,0,1
"BAINANDMD1",2012,"noca",0,0,0,1,1
"BAINANDMD1",2012,"nomo",0,0,1,0,0
"BALASUCMD1",2009,"amro",0,0,1,2,0
"BALASUCMD1",2009,"bggn",0,1,0,0,0
"BALASUCMD1",2009,"blja",0,0,0,2,0
"BALASUCMD1",2009,"cach",0,1,0,1,0
"BALASUCMD1",2009,"howr",0,0,0,0,1
"BALASUCMD1",2009,"noca",0,0,1,0,1
"BALASUCMD1",2009,"nomo",0,0,0,0,1
"BALASUCMD1",2009,"tuti",0,2,0,0,0
"BALASUCMD1",2009,"wbnu",0,0,1,0,0
"BALASUCMD1",2010,"amro",0,1,2,0,0
"BALASUCMD1",2010,"bhco",0,0,0,1,0
"BALASUCMD1",2010,"cach",0,1,0,0,0
"BALASUCMD1",2010,"cogr",0,0,0,1,0
"BALASUCMD1",2010,"hofi",1,0,0,0,0
"BALASUCMD1",2010,"modo",0,0,1,0,0
"BALASUCMD1",2010,"noca",0,0,0,1,1
"BALASUCMD1",2010,"rbwo",0,1,0,0,0
"BALASUCMD1",2010,"revi",0,0,1,0,0
"BALASUCMD1",2010,"tuti",0,0,1,0,0
"BALASUCMD1",2012,"amro",0,1,3,0,0
"BALASUCMD1",2012,"blja",0,0,0,1,2
"BALASUCMD1",2012,"carw",0,0,1,0,0
"BALASUCMD1",2012,"howr",0,0,0,0,1
"BALASUCMD1",2012,"modo",1,0,1,0,0
"BALASUCMD1",2012,"noca",0,0,0,1,1
"BALASUCMD1",2012,"piwo",0,0,0,1,0
"BALASUCMD1",2012,"revi",0,0,1,0,0
"BALASUCMD1",2012,"tuti",0,2,0,0,0
"BALASUCMD1",2012,"wbnu",0,1,0,0,0
"BARBJERMD1",2009,"amgo",0,1,0,0,1
"BARBJERMD1",2009,"amro",0,0,2,0,0
"BARBJERMD1",2009,"carw",0,0,0,1,1
"BARBJERMD1",2009,"cogr",0,0,1,0,0
"BARBJERMD1",2009,"eabl",0,1,0,0,0
"BARBJERMD1",2009,"hofi",2,2,5,0,0
"BARBJERMD1",2009,"howr",0,0,1,0,0
"BARBJERMD1",2009,"noca",0,0,4,1,0
"BARBJERMD1",2009,"tuti",0,0,0,1,0
"BARBJERMD1",2010,"cach",0,0,0,2,0
"BARBJERMD1",2010,"carw",0,0,0,0,1
"BARBJERMD1",2010,"cedw",0,0,2,0,0
"BARBJERMD1",2010,"cogr",0,0,0,0,1
"BARBJERMD1",2010,"howr",0,2,0,1,0
"BARBJERMD1",2010,"noca",0,0,2,0,1
"BARBJERMD1",2012,"amgo",0,0,2,1,0
"BARBJERMD1",2012,"blja",0,1,0,0,0
"BARBJERMD1",2012,"eabl",0,0,2,0,0
"BARBJERMD1",2012,"hofi",0,0,1,0,0
"BARBJERMD1",2012,"howr",0,0,2,0,0
"BARBJERMD1",2012,"noca",0,0,2,0,2
"BARBJERMD1",2012,"rbwo",0,0,0,1,0
"BARBJERMD1",2012,"tuti",0,4,0,0,0
"BARBJERMD1",2012,"wbnu",0,2,0,0,0
"BARNDORMD1",2009,"amro",0,2,0,1,0
"BARNDORMD1",2009,"blja",0,1,0,0,0
"BARNDORMD1",2009,"cach",0,1,0,1,0
"BARNDORMD1",2009,"carw",0,0,0,0,1
"BARNDORMD1",2009,"cogr",0,0,1,0,0
"BARNDORMD1",2009,"grca",0,0,0,1,0
"BARNDORMD1",2009,"howr",0,0,0,0,1
"BARNDORMD1",2009,"modo",0,0,1,0,0
"BARNDORMD1",2009,"noca",1,0,1,1,0
"BARNDORMD1",2009,"tuti",0,0,0,0,1
"BARNDORMD1",2010,"blja",1,0,0,0,0
"BARNDORMD1",2010,"carw",0,0,0,0,1
"BARNDORMD1",2010,"dowo",1,0,0,0,0
"BARNDORMD1",2010,"grca",0,0,0,0,2
"BARNDORMD1",2010,"modo",0,0,0,1,0
"BARNDORMD1",2010,"noca",0,0,0,0,1
"BARNDORMD1",2010,"nopa",0,0,0,0,1
"BARNDORMD1",2010,"rbwo",0,0,0,1,0
"BARNDORMD1",2010,"wbnu",0,0,1,0,0
"BARNDORMD1",2012,"amro",1,1,1,1,0
"BARNDORMD1",2012,"blja",0,0,1,0,0
"BARNDORMD1",2012,"cach",0,0,0,0,1
"BARNDORMD1",2012,"dowo",0,1,0,0,0
"BARNDORMD1",2012,"ficr",0,0,0,1,0
"BARNDORMD1",2012,"grca",0,0,1,0,1
"BARNDORMD1",2012,"noca",0,1,1,1,1
"BARNDORMD1",2012,"rbwo",0,0,0,1,0
"BARNDORMD1",2012,"wbnu",0,0,2,0,0
"BAUGSHEVA1",2009,"amgo",0,2,1,0,0
"BAUGSHEVA1",2009,"cach",1,2,1,2,0
"BAUGSHEVA1",2009,"carw",0,0,0,0,1
"BAUGSHEVA1",2009,"dowo",0,1,0,0,0
"BAUGSHEVA1",2009,"eabl",0,0,0,0,1
"BAUGSHEVA1",2009,"howr",0,1,0,0,0
"BAUGSHEVA1",2009,"noca",0,1,2,1,1
"BAUGSHEVA1",2009,"piwo",0,0,1,0,0
"BAUGSHEVA1",2009,"tuti",0,1,0,0,0
"BEALTOMMD1",2009,"cach",0,0,0,1,0
"BEALTOMMD1",2009,"carw",0,0,0,0,1
"BEALTOMMD1",2009,"cogr",0,2,0,0,0
"BEALTOMMD1",2009,"noca",0,0,1,0,2
"BEALTOMMD1",2009,"tuti",2,0,0,0,0
"BEALTOMMD1",2009,"woth",0,0,0,0,1
"BEALTOMMD1",2010,"amgo",0,0,1,0,0
"BEALTOMMD1",2010,"carw",0,0,0,1,0
"BEALTOMMD1",2010,"dowo",0,1,0,0,0
"BEALTOMMD1",2010,"eawp",0,0,0,0,1
"BEALTOMMD1",2010,"hofi",0,2,0,0,0
"BEALTOMMD1",2010,"noca",0,0,1,2,0
"BEALTOMMD1",2010,"rsha",0,0,0,1,0
"BEALTOMMD1",2012,"amro",0,0,1,1,0
"BEALTOMMD1",2012,"blja",0,0,0,0,1
"BEALTOMMD1",2012,"cach",0,2,0,0,0
"BEALTOMMD1",2012,"noca",0,0,1,2,1
"BEALTOMMD1",2012,"rbwo",0,0,0,1,0
"BEALTOMMD1",2012,"revi",0,0,1,1,0
"BEALTOMMD1",2012,"tuti",0,2,0,0,0
"BLANBETMD1",2009,"amcr",0,0,1,0,0
"BLANBETMD1",2009,"amro",1,2,0,1,1
"BLANBETMD1",2009,"blja",0,0,1,0,0
"BLANBETMD1",2009,"carw",0,0,0,1,0
"BLANBETMD1",2009,"dowo",0,1,0,0,0
"BLANBETMD1",2009,"grca",0,1,1,0,0
"BLANBETMD1",2009,"modo",0,1,0,0,0
"BLANBETMD1",2009,"noca",0,0,0,1,0
"BLANBETMD1",2009,"tuti",0,1,1,1,0
"BLANBETMD1",2010,"amro",0,0,0,0,1
"BLANBETMD1",2010,"blja",0,0,1,0,0
"BLANBETMD1",2010,"carw",0,0,0,0,1
"BLANBETMD1",2010,"noca",0,0,1,0,0
"BLANBETMD1",2012,"amro",0,0,1,3,0
"BLANBETMD1",2012,"blja",1,2,0,0,1
"BLANBETMD1",2012,"carw",0,0,0,1,0
"BLANBETMD1",2012,"noca",0,0,2,0,1
"BLOCDAVMD1",2009,"amro",0,0,0,0,1
"BLOCDAVMD1",2009,"carw",0,1,0,0,0
"BLOCDAVMD1",2009,"modo",2,0,0,0,0
"BLOCDAVMD1",2009,"noca",1,1,1,0,0
"BLOCDAVMD1",2009,"nomo",0,0,0,1,0
"BLOCDAVMD1",2009,"rbwo",0,1,0,0,0
"BLOCDAVMD1",2009,"tuti",0,1,0,0,0
"BLOCDAVMD1",2010,"amro",0,0,1,0,0
"BLOCDAVMD1",2010,"blja",0,0,0,1,0
"BLOCDAVMD1",2010,"cogr",0,0,2,0,0
"BLOCDAVMD1",2010,"grca",0,0,0,1,0
"BLOCDAVMD1",2010,"howr",0,3,0,0,1
"BLOCDAVMD1",2010,"modo",0,1,0,0,0
"BLOCDAVMD1",2010,"noca",0,0,1,1,0
"BLOCDAVMD1",2010,"rbwo",0,0,0,1,0
"BLOCDAVMD1",2010,"ysfl",0,0,0,0,1
"BLOCDAVMD1",2012,"amro",0,1,1,2,0
"BLOCDAVMD1",2012,"cach",0,0,1,0,0
"BLOCDAVMD1",2012,"cedw",0,9,0,0,0
"BLOCDAVMD1",2012,"grca",2,3,1,1,1
"BLOCDAVMD1",2012,"modo",0,0,0,1,0
