"sp","dietEven","fsEven","varHeight","offspring_max","enw"
"acfl",0.847826086956522,0.195652173913043,0.41304347826087,0.739130434782609,0.673913043478261
"amcr",0,0.760869565217391,0.0869565217391305,0.195652173913043,0.0434782608695652
"amgo",0.195652173913043,0.195652173913043,0.847826086956522,0.326086956521739,0.217391304347826
"amro",0.5,0.347826086956522,0.0217391304347826,0.260869565217391,0.108695652173913
"baor",0.282608695652174,0.0869565217391305,0.347826086956522,0.847826086956522,0.239130434782609
"bars",0.760869565217391,0.260869565217391,0.0652173913043478,0.326086956521739,0.152173913043478
"bggn",0.956521739130435,0.521739130434783,0.130434782608696,0.565217391304348,0.652173913043478
"bhco",0.652173913043478,0.608695652173913,0.0217391304347826,0.0217391304347826,0.130434782608696
"blja",0.0652173913043478,0.0434782608695652,0.739130434782609,0.847826086956522,0.326086956521739
"brth",0.239130434782609,0.760869565217391,0.869565217391304,0.434782608695652,0.695652173913043
"cach",0.652173913043478,0.521739130434783,0.717391304347826,0.565217391304348,0.804347826086957
"carw",0.195652173913043,0.347826086956522,0.891304347826087,0.0869565217391305,0.195652173913043
"cedw",0.41304347826087,0.347826086956522,0.543478260869565,0.434782608695652,0.347826086956522
"chsp",0.652173913043478,0.608695652173913,0.673913043478261,0.0869565217391305,0.565217391304348
"cogr",0.130434782608696,0.478260869565217,0.173913043478261,0.326086956521739,0.0869565217391304
"coye",0.956521739130435,0.760869565217391,0.956521739130435,0.434782608695652,1
"dowo",0.760869565217391,0.347826086956522,0.652173913043478,0.739130434782609,0.826086956521739
"eabl",0.804347826086957,0.956521739130435,0.826086956521739,0.0869565217391305,0.934782608695652
"eaph",0.891304347826087,0.521739130434783,0.804347826086957,0.739130434782609,0.956521739130435
"eato",0.195652173913043,0.760869565217391,0.760869565217391,0.195652173913043,0.456521739130435
"eawp",0.891304347826087,0.195652173913043,0.239130434782609,0.978260869565217,0.695652173913043
"ficr",0.0434782608695652,0.891304347826087,0.152173913043478,0.891304347826087,0.521739130434783
"gcfl",0.652173913043478,0.956521739130435,0.217391304347826,0.739130434782609,0.891304347826087
"grca",0.652173913043478,0.760869565217391,0.478260869565217,0.195652173913043,0.608695652173913
"hawo",0.326086956521739,0.434782608695652,0.369565217391304,0.891304347826087,0.565217391304348
"hofi",0.0869565217391305,0.195652173913043,0.282608695652174,0.0434782608695652,0.0217391304347826
"howr",0.847826086956522,0.956521739130435,0.608695652173913,0.130434782608696,0.869565217391304
"inbu",0.956521739130435,0.347826086956522,0.91304347826087,0.434782608695652,0.91304347826087
"modo",0.891304347826087,0.565217391304348,0.108695652173913,0.434782608695652,0.543478260869565
"noca",0.41304347826087,0.0434782608695652,0.630434782608696,0.565217391304348,0.260869565217391
"nomo",0.5,0.652173913043478,0.521739130434783,0.195652173913043,0.391304347826087
"nopa",0.326086956521739,0.760869565217391,0.456521739130435,0.326086956521739,0.41304347826087
"oror",0.108695652173913,0.434782608695652,0.695652173913043,0.434782608695652,0.304347826086957
"oven",0.326086956521739,0.760869565217391,0.978260869565217,0.434782608695652,0.826086956521739
"piwo",0.41304347826087,0,0.58695652173913,0.956521739130435,0.5
"rbnu",0.5,0.195652173913043,0.0434782608695652,0.739130434782609,0.173913043478261
"rbwo",0.0217391304347826,0.456521739130435,0.391304347826087,0.195652173913043,0.0652173913043478
"revi",0.282608695652174,0.760869565217391,0.326086956521739,0.565217391304348,0.478260869565217
"rthu",0.652173913043478,0.347826086956522,0.5,0.891304347826087,0.782608695652174
"rwbl",0.5,0.891304347826087,0.934782608695652,0.739130434782609,0.978260869565217
"scta",0.760869565217391,0.108695652173913,0.326086956521739,0.956521739130435,0.630434782608696
"sosp",0.195652173913043,0.652173913043478,0.804347826086957,0,0.260869565217391
"tuti",0.652173913043478,0.0434782608695652,0.565217391304348,0.630434782608696,0.434782608695652
"wbnu",0.5,0.195652173913043,0.434782608695652,0.630434782608696,0.369565217391304
"woth",0.652173913043478,0.760869565217391,0.195652173913043,0.739130434782609,0.739130434782609
"ysfl",0.41304347826087,0.956521739130435,0.260869565217391,0.739130434782609,0.760869565217391
