"common","alpha","latin","nest_min","nest_max","nest_mean","nest_type","nest_loc","summer_flock","broods","Inc_period_min","Inc_period_max","Nestling_period_min","Nestling_period_max","Clutch_min","Clutch_max","Brood_min","Brood_max","Scientific","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","BodyMass.Value"
"Acadian Flycatcher","acfl","Empidonax virescens ",1.07,16.76,4.06,"cup","tree","N","double",13,15,13,15,1,4,1,2,"Empidonax virescens",80,0,0,0,0,20,0,0,0,"Invertebrate",0,33,33,33,0,12.6
"American Crow","amcr","Corvus brachyrhynchos ",3.7,30,10.6,"cup","tree","Y","single",16,18,20,40,3,9,1,2,"Corvus brachyrhynchos",20,10,10,10,20,20,0,10,0,"Omnivore",80,20,0,0,0,448.76
"American Goldfinch","amgo","Spinus tristis ",0.6,2.92,1.39,"cup","shrub","N","single",12,14,11,17,2,7,1,2,"Carduelis tristis",10,0,0,0,0,0,10,60,20,"PlantSeed",33,33,33,0,0,12.79
"American Robin","amro","Turdus migratorius ",0.5,32,3.6,"cup","tree","Y","multiple",12,14,13,13,3,5,1,3,"Turdus migratorius",50,0,0,0,0,50,0,0,0,"Omnivore",20,40,40,0,0,78.5
"Baltimore Oriole","baor","Icterus galbula ",4.5,22,11.21,"cup","tree","N","single",11,14,11,14,3,7,1,1,"Icterus galbula",60,0,0,0,0,20,20,0,0,"Invertebrate",30,10,20,40,0,32.83
"Barn Swallow","bars","Hirundo rustica ",0.3,30,2.95,"cup","building","Y","double",12,17,15,27,3,7,1,2,"Hirundo rustica",80,0,0,0,0,10,0,10,0,"Invertebrate",30,30,40,0,0,17.91
"Blue-gray Gnatcatcher","bggn","Polioptila caerulea ",0.8,24.4,8.5,"cup","tree","N","single",11,15,10,15,3,5,1,2,"Polioptila caerulea",100,0,0,0,0,0,0,0,0,"Invertebrate",0,50,50,0,0,5.8
"Brown-headed Cowbird","bhco","Molothrus ater ",NA,NA,NA,"cup","generalist","Y","multiple",10,12,8,13,1,7,NA,40,"Molothrus ater",40,0,0,0,0,0,0,60,0,"PlantSeed",80,10,10,0,0,40.26
"Blue Jay","blja","Cyanocitta cristata ",1.37,7.62,4,"cup","tree","Y","double",17,18,17,21,2,7,1,1,"Cyanocitta cristata",20,10,10,0,0,20,0,40,0,"Omnivore",40,20,20,20,0,88
"Brown Thrasher","brth","Toxostoma rufum ",0,2.1,1.8,"cup","shrub","N","double",10,14,9,13,2,6,1,2,"Toxostoma rufum",50,0,0,0,0,30,0,20,0,"Omnivore",80,20,0,0,0,68.8
