"alpha","Brange","LNB","RNB","BiomeH","gnw"
"acfl",0.916001433660349,0.519612061831783,0.74204856258981,0.660719868504072,0.84472266496958
"amcr",0.567888511714719,0.393432855582404,0.365637931328192,0.242549710999617,0.323675963163932
"amgo",0.729962295369948,0.617755122306445,0.765039169525951,0.409815265498648,0.71503923080118
"amro",0.362239187082525,0.137830591506405,0.67716554991886,0.103951517074555,0.205280093393419
"baor",0.845927723773616,0.230147959352554,0.899027175072884,0.779893242211441,0.810481324386671
"bars",0.508348366847479,0.854225282181987,0.276690059397524,0.053058949691682,0.374107843007061
"bggn",0.768163407317773,0.508854390784814,0.0166976149264024,0.0900387743053008,0.247398082057576
"blja",0.765285273782721,0.337128860348879,0.347163456268531,0.559885324488828,0.504337500044514
"bhco",0.576350127277486,0.393499056635,0.519149638767913,0.0492700826826558,0.310847607327715
"brth",0.805913979321928,0.293899573003211,0.372368215864053,0.643663414301515,0.548022040019763
"cach",0.947688527094816,0.463804574492734,0.74531957863742,0.609312446168838,0.815051318911264
"carw",0.907217225766107,0,0.627902755633493,0.563759553577613,0.541055310284468
"cedw",0.733800063238877,1,0.786977186305509,0.373637946760315,0.867732022319749
"chsp",0.489421777978695,0.197279136738274,0.611395277633466,0.0634847358460234,0.238292912116902
"cogr",0.701448632965992,0.790175763794644,0.739469978864038,0.485940334698867,0.794892957075518
"coye",0.574188311510531,0.222203833040945,0.777863835449265,0.192941674685719,0.40485431847191
"dowo",0.512846471691838,0.183873423587435,0.196468627648366,0.143055395508567,0.104697361573608
"eabl",0.814767599336009,0.599947039157923,0.554580769272061,0.522218170826065,0.702285541229971
"eato",0.909889527297887,0.2373307735593,0.339210767713041,0.775526997339777,0.608021457596798
"tuti",0.917513879818111,0.175333487802456,0.627471926539663,0.737908125416483,0.688616998747198
"eawp",0.87178557523848,0.203336533050875,0.773889316846048,0.765394523825531,0.752749747220858
"ficr",1,0.844030320082089,0.644696804631995,0.727792124985594,1
"grca",0.758698883502887,0.293535467213929,0.880481183515303,0.448359837354061,0.656935480759332
"gcfl",0.828191637589228,0.199331369368773,0.113840134777786,0.617843442744134,0.401572886013736
"hawo",0.492373690096026,0.384264009797756,0.532066645296412,0.110061991694734,0.302839122911006
"hofi",0.728196771825595,0.858760054284863,0.338130472824886,0,0.469689714740102
"howr",0,0.299063255105756,0.309367664308526,0.222912180165182,0.0205574178207883
"inbu",0.79812146287046,0.0818245010095663,0.70598062953927,0.383022245784854,0.487700904503622
"modo",0.580890208322598,0.154016748866307,0.203269308971859,0.054673408598195,0.0868780612771435
"noca",0.799142405653238,0.0452484194498695,0.446584764480609,0.337063737865889,0.347710701907685
"nomo",0.621313782238646,0.149515077289729,0.388050791246324,0.0448476593101871,0.173472309528814
"nopa",0.901655208424776,0.452318691867201,0.409519441221699,0.679303991271805,0.682280827706206
"oror",0.842346069577589,0.286451954586078,0.218456055032869,0.478909462119346,0.429067918066178
"oven",0.824993820239191,0.415246102413029,0.871172467335782,0.718655069544152,0.841308433664162
"piwo",0.795901552437301,0.319684882989639,0.199597100085209,0.388270278530058,0.378678712164812
"rbnu",0.745984205519865,0.358048392969448,0.393942349601203,0.22540217139537,0.386859966923844
"revi",0.554072829822184,0.174009466750521,0.947744761651858,0.406488568161025,0.53425354958384
"rwbl",0.477296572214419,0.626758465459601,0.665321573371202,0.0687433322172246,0.433977664122261
"rthu",0.836502996227517,0.29999006984211,0.766503288649015,0.647711366170053,0.726592871142682
"scta",0.93267514446408,0.26308298301943,1,1,0.9914747063225
"sosp",0.615325549159248,0.137466485717123,0.707248271382202,0.193605616434707,0.358225728131227
"wbnu",0.684617780317229,0.469034457647877,0.39527738478237,0.117145244271579,0.363329517771077
"woth",0.895948999409795,0.527291383933005,0.813358325612299,0.816804790304253,0.933018568965097
"ysfl",0.42385752940664,0.224322266724041,0,0.133101090934902,0
