SubsetSppID,AOU,CommonName,Route Expected,MeanN,logN,MeanLogN,AbundClass,Mass(g),logMass,66-04Trend,TrConf,NumRoutes2002,Brange_Area_km2,log_Brange_Area,Mean_Rel_Im,new_Im,Num_routes,migclass,migclass1,BiomeH,BiomeH_noMex,NumBiomes,OMI,Tol,1yr Prop,5yr Prop,10yr Prop,Foraging,Trophic Group,,,
1,2881,Gray Partridge,168,2.1330246914,0.3289958828,0.2547416183,Low,398,2.5998830721,0.1,Y,55,2759873.63267339,6.4408891973,0.25361,0.25028,45,resid,resid,1.6034209688,1.6034209688,15,3.6207466273,0.4167701981,0.119,0.244,0.304,ground glean,granivore,,0.74639,0.74972
2,2882,Chukar,52,3.4657084785,0.5397920288,0.2785965485,Low,619,2.791690649,0.4,R,28,970397.74064503,5.9869497767,0.30156,0.25264,22,resid,resid,1.9449559463,1.9449559463,16,9.7913598507,0.9088598644,0.058,0.173,0.212,ground glean,granivore,,0.69844,0.74736
3,2890,Northern Bobwhite,406,14.883584979,1.1727075514,0.8416761149,High,178,2.2504200023,-3,Y,828,4555640.39754471,6.6585494354,0.4908,0.47241,676,resid,resid,2.2145143333,1.850280247,22,2.8869763748,0.7028063554,0.648,0.791,0.869,ground glean,herbivore,,0.5092,0.52759
4,2920,Mountain Quail,36,6.6629077615,0.8236638011,0.5898442622,Med,233,2.367355921,0.8,Y,54,345649.688939315,5.5386361704,0.46257,0.46172,44,resid,resid,2.3232885727,2.3232885727,16,8.1278884966,0.5448375064,0.25,0.444,0.444,ground glean,granivore,,0.53743,0.53828
5,2930,Scaled Quail,31,7.6402187902,0.8831057955,0.6144803387,Med,191,2.2810333672,-1.2,B,73,1415876.88075,6.1510254904,0.45806,0.44998,64,resid,resid,1.9979428242,1.9454354062,21,9.4884211915,0.2896821634,0.677,0.806,0.839,ground glean,granivore,,0.54194,0.55002
6,2940,California Quail,86,10.278666028,1.0119367553,0.6299850162,High,176,2.2455126678,1.2,B,163,1269589.87552697,6.1036634504,0.49305,0.47175,127,resid,resid,2.5879586562,2.5413340474,21,3.2862227619,0.5961215953,0.5,0.64,0.721,ground glean,granivore,,0.50695,0.52825
7,2950,Gambel's Quail,25,23.66203563,1.374052104,0.9896226145,High,170,2.2304489214,-0.1,B,54,544155.544438625,5.7357230586,0.47947,0.43802,48,resid,resid,2.1968191724,2.0412588031,16,12.218310109,0.4298454983,0.8,0.84,0.84,ground glean,granivore,,0.52053,0.56198
9,2970,Blue Grouse,85,2.1407716371,0.3305703422,0.1432828127,Low,1188,3.0748164406,-2.5,Y,44,2095889.55494286,6.3213683933,0.50549,0.49351,16,resid,resid,2.4214867536,2.4214867536,21,7.8795386161,1.1973307581,0.059,0.129,0.247,ground glean,herbivore,,0.49451,0.50649
10,2980,Spruce Grouse,107,1.2575757576,0.0995341568,0.0180617997,Low,466.75,2.6690843266,,,4,7552345.14782941,6.8780818293,0.01471,0.11268,1,resid,resid,1.5148069049,1.5148069049,20,4.6544424499,0.5328650244,0.009,0.019,0.065,ground glean,herbivore,,0.98529,0.88732
11,3000,Ruffed Grouse,375,1.8081836433,0.2572425363,0.1467725914,Low,621,2.7930916002,-2.4,Y,136,7998834.40163064,6.9030267058,0.50719,0.51423,42,resid,resid,1.9038147905,1.9038147905,25,2.3955795911,0.5017105225,0.077,0.229,0.403,ground glean,omnivore,,0.49281,0.48577
