alpha,latin,common,nest_min,nest_max,nest_mean,nest_se,nest_n,nest_ref,nest_type,nest_loc,nest_note,summer_flock,broods,Inc_period_min,Inc_period_max,Nestling_period_min,Nestling_period_max,Clutch_min,Clutch_max,Brood_min,Brood_max,
acfl,Empidonax virescens ,Acadian Flycatcher,1.07,16.76,4.06,,138,Walkinshaw 1966,cup,Tree-branch,NA,N,double,13,15,13,15,1,4,1,2,
amcr,Corvus brachyrhynchos ,American Crow,3.7,30,10.6,,50,Clapp and Banks 1993,cup,Tree-branch,NA,Y,single,16,18,20,40,3,9,1,2,
amgo,Spinus tristis ,American Goldfinch,0.6,2.92,1.39,,102,Holcomb 1969,cup,Shrub,NA,N,single,12,14,11,17,2,7,1,2,
amro,Turdus migratorius ,American Robin,0.5,32,3.6,,257,BNA,cup,Tree-branch,NA,Y,multiple,12,14,13,13,3,5,1,3,
baor,Icterus galbula ,Baltimore Oriole,4.5,22,11.21,,63,Graf and Greeley 1976,cup,Tree-branch,NA,N,single,11,14,11,14,3,7,1,1,
bars,Hirundo rustica ,Barn Swallow,0.3,30,2.95,,2563,Campbell et al. 1997,cup,Building,"Not really mean, average of nests between 2.4 and 3.5m that comprised 57% of found nests",Y,double,12,17,15,27,3,7,1,2,
bggn,Polioptila caerulea ,Blue-gray Gnatcatcher,0.8,24.4,8.5,,557,BNA,cup,Tree-branch,NA,N,single,11,15,10,15,3,5,1,2,
bhco,Molothrus ater ,Brown-headed Cowbird,NA,NA,NA,,NA,BNA,cup,Generalist,"Of course, bhco",Y,multiple,10,12,8,13,1,7,NA,40,"*Note! 40 total, not per clutch"
blja,Cyanocitta cristata ,Blue Jay,1.37,7.62,4,,19,Taylor 1965,cup,Tree-branch,Range of this is less than BNA,Y,double,17,18,17,21,2,7,1,1,
brth,Toxostoma rufum ,Brown Thrasher,0,2.1,1.8,,37,BNA,cup,Shrub,Average based on Partin 1977,N,double,10,14,9,13,2,6,1,2,
cach,Poecile carolinensis ,Carolina Chickadee,0.7,7.6,3.4,,55,Albano 1992,cavity,Tree-trunk,NA,N,single,12,15,16,19,3,10,1,1,
carw,Thryothorus ludovicianus ,Carolina Wren,NA,NA,NA,,NA,BNA,Cup-cavity,Shrub-building,"Nest heights highly variable, depending on substrate",N,multiple,12,16,10,16,3,7,1,3,
cedw,Bombycilla cedrorum ,Cedar Waxwing,1.1,15.2,2.59,,24,BNA,cup,Tree-branch,"Provided mean height is actually the median, reported from Mountjoy 1987",Y,single,11,13,14,18,2,6,1,2,
chsp,Spizella passerina ,Chipping Sparrow,0.5,10,2.6,,224,BNA,cup,Tree-shrub,NA,N,double,10,15,9,12,2,7,1,3,
cogr,Quiscalus quiscula ,Common Grackle,0.2,22,2.5,,2601,BNA,cup,Tree-shrub,NA,Y,double,11,15,10,17,1,7,1,2,
coye,Geothlypis trichas ,Common Yellowthroat,0,0.1,0,,NA,BNA,cup,Ground,"Ground-nester, no specific nest height data gathered",N,double,12,12,12,12,1,6,1,2,
dowo,Picoides pubescens ,Downy Woodpecker,1,11.6,4.74,NA,19,Conner et al. 1975,cavity,Tree-trunk,Conner used because sites were from Virginia,N,single,12,12,18,21,3,8,1,1,
eabl,Sialia sialis ,Eastern Bluebird,0.5,4,1.5,,NA,BNA,cavity,Tree-Nestbox,These are the heights of artificial cavities,N,multiple,11,19,17,21,2,7,1,3,
eato,Pipilo erythrophthalmus ,Eastern Towhee,0,5.5,0,,NA,BNA,cup,Ground-shrub,Almost all sites in nearby New Jersey were ground. Not true mean,N,double,12,13,10,12,2,6,1,3,
eawp,Contopus virens ,Eastern Wood-Pewee,1.2,21.4,8.6,,NA,BNA,cup,Tree-branch,"Nest card data, no sample size provided.",N,single,12,14,16,18,2,4,1,1,
ficr,Corvus ossifragus ,Fish Crow,1.8,24.4,8.6,,160,BNA,cup,Tree-branch,NA,Y,single,16,19,32,40,2,6,1,1,
gcfl,Myiarchus crinitus ,Great Crested Flycatcher,0,21.3,8.5,,13,BNA,cavity,Tree-trunk,"Range provided by BNA, mean from Stauffer and Best 1980, though this study evaluated riparian habitat",N,single,13,15,13,15,4,8,1,1,
