"sp","diet.even","fs.even","nHeight_var","breeding_var","enw","Brange","LNB","RNB","BiomeH","gnw","nw"
"acfl",0.26522673256629,0.804161456497437,0.498095238095238,0.188953488372093,0.538683128521185,0.916001433660349,0.519612061831783,0.74204856258981,0.660719868504072,0.84472266496958,0.886363636363636
"amcr",1,0.366284216823359,0.834920634920635,1,0,0.567888511714719,0.393432855582404,0.365637931328192,0.242549710999617,0.323675963163932,0.0227272727272727
"amgo",0.577146250632193,0.804161456497437,0.0736507936507936,0.48546511627907,0.470083508124416,0.729962295369948,0.617755122306445,0.765039169525951,0.409815265498648,0.71503923080118,0.613636363636364
"amro",0.367386633716855,0.772179728487033,1,0.142441860465116,0.342723356094238,0.362239187082525,0.137830591506405,0.67716554991886,0.103951517074555,0.205280093393419,0.0909090909090909
"baor",0.503668923888822,0.936826803201476,0.555555555555556,0.28125,0.344478343254376,0.845927723773616,0.230147959352554,0.899027175072884,0.779893242211441,0.810481324386671,0.590909090909091
"bars",0.338704059309661,0.797052244168163,0.942857142857143,0.810319767441861,0.116430783568965,0.508348366847479,0.854225282181987,0.276690059397524,0.053058949691682,0.374107843007061,0.0681818181818182
"bggn",0,0.507369389579592,0.749206349206349,0.34593023255814,0.596076430595851,0.768163407317773,0.508854390784814,0.0166976149264024,0.0900387743053008,0.247398082057576,0.386363636363636
"bhco",0.35671427040208,0.467758094739278,1,1,0.140465073602494,0.576350127277486,0.393499056635,0.519149638767913,0.0492700826826558,0.310847607327715,0.0454545454545455
"blja",0.779568019769887,0.97512748431887,0.198412698412698,0.246366279069768,0.373496141639056,0.765285273782721,0.337128860348879,0.347163456268531,0.559885324488828,0.504337500044514,0.409090909090909
"brth",0.545743768917895,0.366284216823359,0.0666666666666667,0.489825581395349,0.646033142996939,0.805913979321928,0.293899573003211,0.372368215864053,0.643663414301515,0.548022040019763,0.636363636363636
"cach",0.35671427040208,0.507369389579592,0.219047619047619,0.542877906976744,0.587313234177198,0.947688527094816,0.463804574492734,0.74531957863742,0.609312446168838,0.815051318911264,0.909090909090909
"carw",0.577146250632193,0.772179728487033,0.0634920634920635,0.652616279069767,0.423473145465969,0.907217225766107,0,0.627902755633493,0.563759553577613,0.541055310284468,0.454545454545455
"cedw",0.424985381362511,0.772179728487033,0.447619047619048,0.337209302325581,0.454584151878216,0.733800063238877,1,0.786977186305509,0.373637946760315,0.867732022319749,0.772727272727273
"chsp",0.35671427040208,0.467758094739278,0.301587301587302,0.724563953488372,0.503565524182364,0.489421777978695,0.197279136738274,0.611395277633466,0.0634847358460234,0.238292912116902,0.227272727272727
"cogr",0.632613366283145,0.586914584618039,0.692063492063492,0.755813953488372,0.199027645458939,0.701448632965992,0.790175763794644,0.739469978864038,0.485940334698867,0.794892957075518,0.5
"coye",0,0.366284216823359,0.00317460317460317,0.149709302325581,1,0.574188311510531,0.222203833040945,0.777863835449265,0.192941674685719,0.40485431847191,0.931818181818182
"dowo",0.338704059309661,0.772179728487033,0.336507936507936,0.13953488372093,0.601885211343566,0.512846471691838,0.183873423587435,0.196468627648366,0.143055395508567,0.104697361573608,0.204545454545455
"eabl",0.323774496793664,0,0.111111111111111,0.984011627906977,0.664535126003801,0.814767599336009,0.599947039157923,0.554580769272061,0.522218170826065,0.702285541229971,0.840909090909091
"eato",0.577146250632193,0.366284216823359,0.174603174603175,0.301598837209302,0.664260989766884,0.909889527297887,0.2373307735593,0.339210767713041,0.775526997339777,0.608021457596798,0.75
"eawp",0.172302712356804,0.804161456497437,0.641269841269841,0,0.590398641543614,0.87178557523848,0.203336533050875,0.773889316846048,0.765394523825531,0.752749747220858,0.795454545454545
"ficr",0.825311788687782,0.237954008034912,0.717460317460317,0.433866279069768,0.367859413582456,1,0.844030320082089,0.644696804631995,0.727792124985594,1,0.863636363636364
"gcfl",0.35671427040208,0,0.676190476190476,0.174418604651163,0.743420654396155,0.828191637589228,0.199331369368773,0.113840134777786,0.617843442744134,0.401572886013736,0.568181818181818
"grca",0.35671427040208,0.366284216823359,0.466666666666667,0.409156976744186,0.597449954182378,0.758698883502887,0.293535467213929,0.880481183515303,0.448359837354061,0.656935480759332,0.681818181818182
"hawo",0.498462708105882,0.753684694789796,0.552380952380952,0.0109011627906977,0.516687679357811,0.492373690096026,0.384264009797756,0.532066645296412,0.110061991694734,0.302839122911006,0.318181818181818
"hofi",0.696367346293459,0.804161456497437,0.603174603174603,0.759447674418605,0.126043677050217,0.728196771825595,0.858760054284863,0.338130472824886,0,0.469689714740102,0.113636363636364
"howr",0.26522673256629,0,NA,0.919331395348837,0.60468747378947,0,0.299063255105756,0.309367664308526,0.222912180165182,0.0205574178207883,0.136363636363636
"inbu",0,0.772179728487033,0.0222222222222222,0.314680232558139,0.780049969311448,0.79812146287046,0.0818245010095663,0.70598062953927,0.383022245784854,0.487700904503622,0.727272727272727
"modo",0.172302712356804,0.492630610420408,0.761904761904762,0.212209302325581,0.582451928267962,0.580890208322598,0.154016748866307,0.203269308971859,0.054673408598195,0.0868780612771435,0.181818181818182
"noca",0.424985381362511,0.97512748431887,0.358730158730159,0.311046511627907,0.421812014464473,0.799142405653238,0.0452484194498695,0.446584764480609,0.337063737865889,0.347710701907685,0.295454545454545
"nomo",0.367386633716855,0.447140025584727,0.453968253968254,0.169331395348837,0.657477402819298,0.621313782238646,0.149515077289729,0.388050791246324,0.0448476593101871,0.173472309528814,0.363636363636364
"nopa",0.498462708105882,0.366284216823359,0.473015873015873,0.332848837209302,0.570683167683657,0.901655208424776,0.452318691867201,0.409519441221699,0.679303991271805,0.682280827706206,0.659090909090909
"oror",0.67835713520104,0.753684694789796,0.285714285714286,0.0406976744186046,0.537931134870038,0.842346069577589,0.286451954586078,0.218456055032869,0.478909462119346,0.429067918066178,0.477272727272727
"oven",0.498462708105882,0.366284216823359,0,0.29578488372093,0.760866926507297,0.824993820239191,0.415246102413029,0.871172467335782,0.718655069544152,0.841308433664162,1
"piwo",0.424985381362511,1,0.434920634920635,0.137354651162791,0.448891758674092,0.795901552437301,0.319684882989639,0.199597100085209,0.388270278530058,0.378678712164812,0.340909090909091
"rbnu",0.367386633716855,0.804161456497437,0.99047619047619,0.303052325581395,0.274466131428104,0.745984205519865,0.358048392969448,0.393942349601203,0.22540217139537,0.386859966923844,0.159090909090909
"revi",0.503668923888822,0.366284216823359,0.59047619047619,0.428779069767442,0.489179151201141,0.554072829822184,0.174009466750521,0.947744761651858,0.406488568161025,0.53425354958384,0.522727272727273
"rthu",0.35671427040208,0.772179728487033,0.46031746031746,0.162790697674419,0.540336632591961,0.836502996227517,0.29999006984211,0.766503288649015,0.647711366170053,0.726592871142682,0.704545454545455
"rwbl",0.367386633716855,0.237954008034912,0.00365079365079365,0.132267441860465,0.917193246273151,0.477296572214419,0.626758465459601,0.665321573371202,0.0687433322172246,0.433977664122261,0.818181818181818
"scta",0.338704059309661,0.873653606402952,0.59047619047619,0.122093023255814,0.475861481798261,0.93267514446408,0.26308298301943,1,1,0.9914747063225,0.954545454545455
"sosp",0.577146250632193,0.447140025584727,0.126984126984127,0.978924418604651,0.399327130083609,0.615325549159248,0.137466485717123,0.707248271382202,0.193605616434707,0.358225728131227,0.25
"tuti",0.35671427040208,0.97512748431887,0.444444444444444,0.318313953488372,0.412598637054963,0.917513879818111,0.175333487802456,0.627471926539663,0.737908125416483,0.688616998747198,0.545454545454545
