"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,-1856.54379152777,0,0.202,0.00219640995116488,0
"imp",2,-1855.98030587732,0.563485650453231,0.152,0.00218178363832963,0.00199561887798394
"can + imp",3,-1855.2701570637,1.2736344640773,0.107,0.00216873363128093,0.00328562008272559
"imp + can + imp:can + I(imp^2)",5,-1855.02386472504,1.5199268027377,0.095,0.00213119810404881,0.0112081068937441
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-1854.67615681099,1.86763471678591,0.079,0.00211488245109935,0.0140830841252472
"can",2,-1854.5457283463,1.99806318147671,0.074,0.00219639016498666,-0.00468578497003969
"imp + I(imp^2)",3,-1854.4011685614,2.14262296637185,0.069,0.00217751697235315,-0.00075105930663022
"imp + can + I(imp^2)",4,-1854.33542741675,2.20836411102096,0.067,0.00215801468412701,0.00351145458967927
"imp + can + I(can^2)",4,-1853.44145555631,3.10233597146566,0.043,0.00216700640873693,-0.000640579519806783
"imp + can + imp:can",4,-1853.27145623212,3.27233529565297,0.039,0.00216872052643562,-0.00143209343525763
"can + I(can^2)",3,-1852.6724862122,3.871305315575,0.029,0.00219509561766149,-0.00882991615911677
"imp + can + I(imp^2) + I(can^2)",5,-1852.34470840903,4.19908311874087,0.025,0.00215792153024171,-0.00119050922991049
"imp + can + imp:can + I(can^2)",5,-1851.66955675063,4.87423477713924,0.018,0.00216470857322951,-0.00433942958215461
