"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,6.59893803698554,0,0.428,10.1484900428157,-7.87664543550496e-15
"can",2,8.61313068091554,2.01419264393001,0.156,9.00847498070607,0.108166017575994
"imp",2,8.62891356218088,2.02997552519534,0.155,7.23857303251381,0.283385320103555
"can + I(can^2)",3,10.6146302962167,4.01569225923119,0.057,8.98970885982056,0.105825852349937
"can + imp",3,10.6290146476645,4.03007661067897,0.057,7.23482637930754,0.280377728356974
"imp + I(imp^2)",3,10.6303426909193,4.03140465393373,0.057,7.21143363484291,0.28270452087818
"imp + can + I(can^2)",4,12.6292877391711,6.03034970218561,0.021,7.23146981391926,0.277302644104142
"imp + can + imp:can",4,12.6295191378607,6.03058110087517,0.021,7.23063442731321,0.277386130823561
"imp + can + I(imp^2)",4,12.630423532962,6.03148549597645,0.021,7.20806967071108,0.279641203492384
"imp + can + imp:can + I(can^2)",5,14.6295742385692,8.0306362015837,0.008,7.22937579852928,0.274071495994906
"imp + can + imp:can + I(imp^2)",5,14.6302531553477,8.03131511836212,0.008,7.20598911979601,0.276419839362246
"imp + can + I(imp^2) + I(can^2)",5,14.6304931733519,8.0315551363664,0.008,7.20749276620506,0.276268852635496
"imp + can + imp:can + I(imp^2) + I(can^2)",6,16.6303413181099,10.0314032811244,0.003,7.20432491215841,0.273125642173109
