"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,3.05053469303295,0,0.425,2.73365916637749,1.0559399282576e-14
"imp",2,5.05080690083929,2.00027220780634,0.156,2.60159023464641,0.0438441245876383
"can",2,5.05096960496524,2.00043491193229,0.156,2.5727975245811,0.05442623645574
"imp + I(imp^2)",3,7.05084094642151,4.00030625338857,0.058,2.54192394831412,0.0613663932650964
"can + I(can^2)",3,7.05094013427749,4.00040544124454,0.058,2.56487004186715,0.0528932937585459
"can + imp",3,7.05096704171622,4.00043234868328,0.058,2.5589134194484,0.0550928426429933
"imp + can + I(can^2)",4,9.05095072021798,6.00041602718504,0.021,2.55646156788884,0.0515242739171534
"imp + can + imp:can",4,9.05098930474405,6.0004546117111,0.021,2.51112065185098,0.0683462589610293
"imp + can + I(imp^2)",4,9.05103423244005,6.00049953940711,0.021,2.47217971774501,0.0827937793988208
"imp + can + imp:can + I(imp^2)",5,11.0510332697953,8.00049857676231,0.008,2.47106691214358,0.078840960022039
"imp + can + imp:can + I(can^2)",5,11.0510812440849,8.00054655105198,0.008,2.49057068298127,0.0715703860313063
"imp + can + I(imp^2) + I(can^2)",5,11.0511191329797,8.00058443994678,0.008,2.44804120779964,0.0874244328547837
"imp + can + imp:can + I(imp^2) + I(can^2)",6,13.0511490906129,10.0006143975799,0.003,2.44248117702261,0.0851406159823954
