"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,22.3772718355836,0,0.444,13.5770963528951,-2.35502660348924e-15
"imp",2,24.4698410489224,2.09256921333883,0.156,11.311418127454,0.162963635118093
"can",2,24.5751559589218,2.19788412333822,0.148,9.9561607158149,0.263251655995365
"imp + I(imp^2)",3,26.463757465366,4.08648562978237,0.058,11.2441211806155,0.164018763621226
"can + I(can^2)",3,26.5587867451319,4.18151490954836,0.055,9.66178275913896,0.281662927065146
"can + imp",3,26.571161575534,4.19388973995041,0.055,9.90167648368756,0.263827237710128
"imp + can + I(can^2)",4,28.5587577718287,6.18148593624515,0.02,9.66171347252671,0.278263661716604
"imp + can + imp:can",4,28.5630655826046,6.18579374702097,0.02,9.59937406305226,0.282920456523527
"imp + can + I(imp^2)",4,28.5649469653977,6.18767512981411,0.02,9.54946658390842,0.286648577974515
"imp + can + I(imp^2) + I(can^2)",5,30.5598891291257,8.18261729354208,0.007,9.50196070786079,0.286817285231619
"imp + can + imp:can + I(can^2)",5,30.5603124401621,8.18304060457848,0.007,9.5818994899287,0.280817370123224
"imp + can + imp:can + I(imp^2)",5,30.5637641142413,8.1864922786577,0.007,9.54037964112491,0.283933699415364
"imp + can + imp:can + I(imp^2) + I(can^2)",6,32.5594764344019,10.1822045988183,0.003,9.49707241557305,0.283773580728304
