"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,97.7190964305593,0,0.366,26.2305374219017,6.77209471856664e-16
"can",2,98.5243004092876,0.805203978728343,0.245,17.9081312974892,0.31407402212593
"imp",2,99.8251409386463,2.106044508087,0.128,15.7225560841137,0.397786989746517
"can + I(can^2)",3,101.251002578292,3.53190614773303,0.063,17.047055255298,0.343975449129635
"can + imp",3,101.263446499037,3.54435006847727,0.062,14.8977166760525,0.426688789058516
"imp + I(imp^2)",3,101.920869510468,4.20177307990836,0.045,15.3537785383188,0.409138087551322
"imp + can + I(imp^2)",4,103.286683630343,5.56758719978338,0.023,14.2689953507831,0.448281526635893
"imp + can + imp:can",4,103.378233084834,5.65913665427449,0.022,14.5385328029734,0.437859714309162
"imp + can + I(can^2)",4,103.55285249945,5.83375606889028,0.02,14.7348660970579,0.430268380608367
"imp + can + imp:can + I(imp^2)",5,105.256407321565,7.53731089100584,0.008,14.2599407421338,0.446006064332554
"imp + can + I(imp^2) + I(can^2)",5,105.292322838337,7.57322640777817,0.008,14.2689456151354,0.445656228023654
"imp + can + imp:can + I(can^2)",5,105.370690143341,7.65159371278176,0.008,14.5384423889787,0.435186368359371
"imp + can + imp:can + I(imp^2) + I(can^2)",6,107.313322148288,9.59422571772836,0.003,14.2541923444494,0.443579767508168
