"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,6.49284196337124,0,0.425,7.07021624404083,-5.27614606679774e-15
"can",2,8.49286907203192,2.00002710866069,0.156,7.06764263016849,-0.00432911892226961
"imp",2,8.49447374306603,2.00163177969479,0.156,6.89393944714375,0.0203545236853175
"can + I(can^2)",3,10.4928701675375,4.00002820416629,0.058,7.06755619513582,-0.00905417986241486
"imp + I(imp^2)",3,10.4954103126398,4.00256834926852,0.057,6.69910450226148,0.0435506683350594
"can + imp",3,10.495673955837,4.00283199246573,0.057,6.79904826651685,0.0292814258573734
"imp + can + imp:can",4,12.4957153419956,6.00287337862436,0.021,6.79854032876802,0.0247537272406227
"imp + can + I(imp^2)",4,12.4960925956623,6.00325063229104,0.021,6.64073584185517,0.0473906802105473
"imp + can + I(can^2)",4,12.4963408331726,6.00349886980137,0.021,6.76991789932533,0.028859596483345
"imp + can + imp:can + I(can^2)",5,14.4965511337784,8.00370917040717,0.008,6.75463297448166,0.0264381721014921
"imp + can + I(imp^2) + I(can^2)",5,14.4988222492293,8.00598028585808,0.008,6.44206429224859,0.0714894633808688
"imp + can + imp:can + I(imp^2)",5,14.5021567253497,8.00931476197847,0.008,6.2409623417917,0.100474781046599
"imp + can + imp:can + I(imp^2) + I(can^2)",6,16.5022534833789,10.0094115200076,0.003,6.2394430651795,0.0963908574344545
