"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + I(can^2)",4,-261.213377729162,0,0.385,3.56549677108033,0.102096476827593
"imp + can + I(imp^2) + I(can^2)",5,-259.668520484051,1.54485724511028,0.178,3.55795680114456,0.0997285877544573
"imp + can + imp:can + I(can^2)",5,-259.24181001158,1.97156771758193,0.144,3.56502528964609,0.0979400449245748
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-258.054031381579,3.15934634758275,0.079,3.55158283771932,0.0970415926516487
"imp + can + imp:can",4,-257.936665278664,3.276712450498,0.075,3.62025300366476,0.0883071461088025
"imp + can + I(imp^2)",4,-257.218429625628,3.99494810353389,0.052,3.63236715606541,0.0852564239179956
"can + I(can^2)",3,-256.340754671791,4.87262305737062,0.034,3.68131151827364,0.0773036721826984
"imp + can + imp:can + I(imp^2)",5,-256.02999696083,5.18338076833146,0.029,3.61868178982578,0.0843633165119688
"can + imp",3,-255.560465605031,5.65291212413086,0.023,3.69469619701623,0.0739488911858991
"imp + I(imp^2)",3,-249.667147720418,11.5462300087433,0.001,3.79737148098271,0.0482140119171409
"imp",2,-243.378174789834,17.8352029393279,0,3.94663167384385,0.0154470517362104
"1",1,-241.024113087434,20.1892646417272,0,4.02737147660505,0
"can",2,-240.310025923183,20.9033518059784,0,4.00335569899767,0.00129629969803136
