"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,167.799641967302,0,0.411,20.2040714615771,0
"can",2,169.315174344781,1.51553237747896,0.193,19.9764149850593,0.00662591651029243
"imp",2,169.64114340298,1.84150143567743,0.164,20.0829233565143,0.00132953795802448
"can + imp",3,171.321124621218,3.52148265391614,0.071,19.9761560206568,0.0019531280570666
"can + I(can^2)",3,171.829725410958,4.03008344365594,0.055,19.8832667678308,0.00659405237325073
"imp + I(imp^2)",3,172.505417674885,4.70577570758294,0.039,19.8972302807966,0.00589640862124441
"imp + can + I(can^2)",4,173.885328094527,6.08568612722482,0.02,19.8655793586878,0.002773852160179
"imp + can + I(imp^2)",4,174.31104811192,6.51140614461769,0.016,19.6701394876283,0.0125846785263243
"imp + can + imp:can",4,174.571346920711,6.7717049534082,0.014,19.5891121137017,0.0166521469102795
"imp + can + I(imp^2) + I(can^2)",5,176.380013622224,8.58037165492206,0.006,19.6647633312136,0.00815386196204038
"imp + can + imp:can + I(can^2)",5,176.512407190832,8.71276522353017,0.005,19.5616528144875,0.013354522965855
"imp + can + imp:can + I(imp^2)",5,176.583432304295,8.78379033699272,0.005,19.5854698815242,0.0121532440304376
"imp + can + imp:can + I(imp^2) + I(can^2)",6,178.516343275868,10.7167013085655,0.002,19.561503222892,0.00864131237185906
