"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can",4,-246.58448296475,0,0.213,3.81654194213764,0.492069130015069
"imp + can + I(can^2)",4,-246.472004405968,0.112478558782129,0.202,3.81853911165748,0.491803333367974
"imp + can + I(imp^2) + I(can^2)",5,-245.926434135109,0.658048829641018,0.154,3.79279467463184,0.492825906152401
"imp + can + imp:can + I(can^2)",5,-245.559712976567,1.02476998818349,0.128,3.79926948833082,0.491960091350304
"imp + can + I(imp^2)",4,-245.380056378659,1.20442658609153,0.117,3.83798214727026,0.489215724442493
"imp + can + imp:can + I(imp^2)",5,-244.669345147686,1.91513781706379,0.082,3.81503582041725,0.489851810814393
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-243.943296940964,2.64118602378625,0.057,3.79249721113334,0.490439203110933
"can + imp",3,-242.379483892559,4.2049990721915,0.026,3.92829395184441,0.479662481416736
"imp + I(imp^2)",3,-240.74417957294,5.84030339181024,0.012,3.95828673623999,0.475689670013336
"imp",2,-240.415435757897,6.16904720685304,0.01,4.0013934216376,0.472468163352267
"can + I(can^2)",3,-207.74736006141,38.8371229033404,0,4.61487539878017,0.388718654202349
"can",2,-181.355476057236,65.2290069075144,0,5.26636379718412,0.305698222184142
"1",1,-103.906004907733,142.678478057017,0,7.62073305716099,0
