"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,-818.097909454752,0,0.209,0.275009332631944,0
"imp + can + imp:can",4,-817.182251301906,0.915658152846277,0.132,0.268582178505924,0.00948495144239714
"can + I(can^2)",3,-817.132956472889,0.964952981863121,0.129,0.271154436833467,0.00471560387141057
"imp + I(imp^2)",3,-816.477044736712,1.62086471804082,0.093,0.271982924958238,0.00167460143533704
"can",2,-816.232425508783,1.86548394596991,0.082,0.274837325189342,-0.00406643886371483
"imp",2,-816.117636130699,1.98027332405388,0.078,0.27498410113838,-0.00460265716797714
"imp + can + imp:can + I(imp^2)",5,-815.685776827612,2.41213262714007,0.063,0.267953900627265,0.0070962980220719
"imp + can + imp:can + I(can^2)",5,-815.195889456044,2.90201999870794,0.049,0.268565141999065,0.0048313419253655
"imp + can + I(can^2)",4,-815.175603102262,2.92230635249052,0.048,0.271100656945249,0.000196953230842678
"can + imp",3,-814.550618994513,3.54729046023942,0.035,0.274430875116422,-0.00731070827743441
"imp + can + I(imp^2)",4,-814.524382754768,3.57352669998465,0.035,0.271923047212593,-0.00283597300470873
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-813.696190438612,4.40171901614065,0.023,0.267940922487211,0.00239388322742007
"imp + can + I(imp^2) + I(can^2)",5,-813.686137936177,4.41177151857516,0.023,0.270457670292375,-0.00218142536082255
