"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"can + imp",3,-735.841247455064,0,0.256,0.395752694904496,0.0259550104623052
"imp",2,-734.709008720218,1.13223873484662,0.145,0.401560441227581,0.0163008048972341
"imp + can + I(can^2)",4,-734.255192659198,1.58605479586663,0.116,0.394991474775141,0.0232211133674729
"imp + can + I(imp^2)",4,-733.854199050877,1.98704840418736,0.095,0.395728855487913,0.0213976362606426
"imp + can + imp:can",4,-733.852892567762,1.98835488730219,0.095,0.395731260207162,0.0213916896032058
"imp + I(imp^2)",3,-733.10253443211,2.73871302295458,0.065,0.400826116452769,0.0134680687369921
"imp + can + imp:can + I(can^2)",5,-732.512468738302,3.32877871676214,0.048,0.394519097658283,0.0197434946557283
"imp + can + I(imp^2) + I(can^2)",5,-732.305829778201,3.53541767686386,0.044,0.394898456751241,0.0188009060182164
"1",1,-732.16842930793,3.67281814713476,0.041,0.410131169694499,-1.35349749868091e-16
"imp + can + imp:can + I(imp^2)",5,-731.854746724199,3.9865007308656,0.035,0.395727847442049,0.0167401296832765
"can + I(can^2)",3,-731.398442509082,4.44280494598252,0.028,0.404015691438986,0.00561773802773635
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-730.603950450842,5.2372970042228,0.019,0.394351266935409,0.0154722742191034
"can",2,-730.236162055405,5.60508539965974,0.016,0.410001983947215,-0.00437837045515987
