"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,2.33036781389693,0,0.425,1.18873861665813,-5.24880180635045e-14
"can",2,4.33037255638665,2.00000474248972,0.156,1.18252480619699,0.000556935560344307
"imp",2,4.33040205121039,2.00003423731346,0.156,1.13580780674008,0.0400410807164971
"can + I(can^2)",3,6.33044341441553,4.0000756005186,0.058,1.06930104900624,0.0919881127559428
"can + imp",3,6.33050856784649,4.00014075394956,0.058,1.06472212091557,0.0958763733547983
"imp + I(imp^2)",3,6.33056384691245,4.00019603301551,0.058,0.946970565382354,0.195866747688575
"imp + can + imp:can",4,8.33057495941872,6.00020714552178,0.021,1.00513657173343,0.142429127183872
"imp + can + I(can^2)",4,8.33058902512096,6.00022121122403,0.021,0.960213928227294,0.180756605940638
"imp + can + I(imp^2)",4,8.33080417811729,6.00043636422036,0.021,0.844351517168343,0.279609072135408
"imp + can + imp:can + I(can^2)",5,10.3306260271766,8.0002582132797,0.008,0.912274129233419,0.217951897678222
"imp + can + imp:can + I(imp^2)",5,10.3307881535471,8.0004203396502,0.008,0.82700185280318,0.291051659938238
"imp + can + I(imp^2) + I(can^2)",5,10.330867648029,8.00049983413209,0.008,0.783190999493016,0.328608567006404
"imp + can + imp:can + I(imp^2) + I(can^2)",6,12.330904621312,10.0005368074151,0.003,0.728006413835671,0.372929570240657
