"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can",4,-597.032961729585,0,0.212,0.74777872825946,0.178216908430273
"imp + can + I(can^2)",4,-596.929503033393,0.103458696191296,0.201,0.748138648395303,0.1778213685857
"can + imp",3,-596.097760216188,0.935201513397033,0.133,0.758057481923355,0.170850530182105
"imp + can + I(imp^2)",4,-595.583408391114,1.44955333847031,0.102,0.752837367402523,0.172657638077936
"imp + can + imp:can + I(can^2)",5,-595.461665178196,1.57129655138874,0.096,0.74628916582589,0.175948428605143
"imp + can + imp:can + I(imp^2)",5,-595.179497692963,1.85346403662163,0.084,0.747269243872455,0.174866227641569
"imp + can + I(imp^2) + I(can^2)",5,-595.148091389895,1.8848703396892,0.082,0.747378409819217,0.174745686738537
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-593.499516514452,3.53344521513293,0.036,0.746157791148061,0.172151355961293
"imp + I(imp^2)",3,-592.390307453984,4.64265427560053,0.021,0.771242756111083,0.156428717373901
"can",2,-592.046828990271,4.98613273931358,0.017,0.779695206645727,0.151187413848243
"imp",2,-590.582993787208,6.44996794237613,0.008,0.785021902317332,0.145388524371791
"can + I(can^2)",3,-590.213466485759,6.81949524382514,0.007,0.779091131672667,0.147844307100278
"1",1,-557.797675709574,39.235286020011,0,0.92288422709833,0
