"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,3.34777039048474,0,0.425,3.73901051028689,5.70104898452594e-15
"imp",2,5.34928889217378,2.00151850168904,0.156,3.19743657284123,0.140829370949311
"can",2,5.34984715736062,2.00207676687588,0.156,3.2026256706699,0.139435028843033
"imp + I(imp^2)",3,7.34934665215425,4.00157626166951,0.058,3.19494738084208,0.137448695317677
"can + I(can^2)",3,7.34970819692358,4.00193780643884,0.057,3.19733913000408,0.136802986292069
"can + imp",3,7.34992473990324,4.0021543494185,0.057,3.09668612159552,0.16397663686409
"imp + can + I(can^2)",4,9.34989579783539,6.00212540735066,0.021,3.09629985344847,0.160119217243752
"imp + can + imp:can",4,9.34990052501553,6.00213013453079,0.021,3.09642753415477,0.160084583462583
"imp + can + I(imp^2)",4,9.34994584051515,6.00217545003041,0.021,3.09635920468602,0.160103118039472
"imp + can + imp:can + I(can^2)",5,11.349891436916,8.00212104643125,0.008,3.0962690452657,0.15612818155284
"imp + can + imp:can + I(imp^2)",5,11.3499012949204,8.00213090443567,0.008,3.09424894438208,0.156678749407632
"imp + can + I(imp^2) + I(can^2)",5,11.3499138510898,8.0021434606051,0.008,3.09552982427892,0.156329652338883
"imp + can + imp:can + I(imp^2) + I(can^2)",6,13.3498955675912,10.0021251771064,0.003,3.09418900193997,0.152660134664786
