"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,26.789578338741,0,0.434,16.494840452915,-2.15383330862874e-15
"imp",2,28.8591986835174,2.06962034477639,0.154,15.5048432267732,0.0556055414754957
"can",2,28.8621456804575,2.07256734171653,0.154,15.2687613282736,0.0699852055224022
"imp + I(imp^2)",3,30.8576509528142,4.06807261407319,0.057,15.4618404326279,0.053782490569925
"can + I(can^2)",3,30.860705843194,4.07112750445306,0.057,15.2618290484834,0.0660225776790627
"can + imp",3,30.8721875526392,4.08260921389824,0.056,15.1857964662381,0.0706755399781566
"imp + can + imp:can",4,32.8708915384365,6.08131319969553,0.021,15.1643293199585,0.0675911087548963
"imp + can + I(can^2)",4,32.8712690074479,6.0816906687069,0.021,15.1286159407535,0.0697870167706413
"imp + can + I(imp^2)",4,32.8716633450291,6.08208500628817,0.021,15.1841095618491,0.0663748813161066
"imp + can + imp:can + I(can^2)",5,34.871588595186,8.08201025644506,0.008,15.1271643944556,0.0654471073475792
"imp + can + I(imp^2) + I(can^2)",5,34.8723865364999,8.08280819775887,0.008,15.1213817937663,0.065804355147651
"imp + can + imp:can + I(imp^2)",5,34.8724538308385,8.08287549209754,0.008,15.1445467100619,0.064373231708547
"imp + can + imp:can + I(imp^2) + I(can^2)",6,36.8725495730755,10.0829712343345,0.003,15.1190509936322,0.0614792048241307
