"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"1",1,260.884311861026,0,0.263,22.3279653458572,-2.22760966943347e-15
"imp + I(imp^2)",3,261.508387902652,0.624076041625813,0.193,20.0411358686209,0.0939522309904598
"imp",2,262.738722861921,1.85441100089417,0.104,22.1200646663763,0.00466010265659988
"can + I(can^2)",3,262.913648340162,2.02933647913591,0.095,20.3552541106056,0.07975113309755
"can",2,262.987004524429,2.10269266340219,0.092,22.3064751866266,-0.00372783973363067
"imp + can + I(imp^2)",4,263.635675317125,2.75136345609872,0.067,20.0090566782367,0.0911153201197317
"can + imp",3,264.419456470622,3.53514460959542,0.045,22.0595320289275,0.0027017474843567
"imp + can + imp:can",4,264.91820708483,4.03389522380331,0.035,20.2161655485408,0.081707676255569
"imp + can + I(can^2)",4,264.987352517482,4.10304065645573,0.034,20.3393215857555,0.0761134777254122
"imp + can + I(imp^2) + I(can^2)",5,265.544030742905,4.65971888187835,0.026,19.5195953002681,0.109126299356158
"imp + can + imp:can + I(imp^2)",5,265.912292655461,5.02798079443482,0.021,19.9240214078873,0.0906683048337618
"imp + can + imp:can + I(can^2)",5,266.71152711777,5.82721525674339,0.014,19.9830656774816,0.0879735262717017
"imp + can + imp:can + I(imp^2) + I(can^2)",6,267.24534040755,6.36102854652358,0.011,19.4718056432731,0.107055300143408
