"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp",2,-530.105336615128,0,0.356,1.04002813758718,0.176209292481361
"imp + I(imp^2)",3,-528.903834159994,1.20150245513389,0.195,1.03617269720664,0.175391728715239
"can + imp",3,-528.186093546017,1.91924306911164,0.136,1.03963756219831,0.172634315459011
"imp + can + imp:can",4,-526.927786558941,3.17755005618756,0.073,1.03605726725602,0.171575929615716
"imp + can + I(imp^2)",4,-526.904335809012,3.20100080611621,0.072,1.03617027955822,0.17148556577739
"imp + can + I(can^2)",4,-526.89205719007,3.21327942505854,0.071,1.036229456783,0.171438248086594
"imp + can + I(imp^2) + I(can^2)",5,-525.147007617585,4.95832899754362,0.03,1.03500140763767,0.168479331256143
"imp + can + imp:can + I(can^2)",5,-525.030128633317,5.07520798181076,0.028,1.03556421135964,0.168027174453446
"imp + can + imp:can + I(imp^2)",5,-524.982291974289,5.12304464083923,0.027,1.03579464598052,0.167842043159289
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-523.149990080764,6.95534653436459,0.011,1.03498705027871,0.164512353362765
"can",2,-509.434901336768,20.6704352783604,0,1.144982470857,0.0930765373791066
"can + I(can^2)",3,-508.982711567355,21.1226250477733,0,1.13676920728054,0.0953348863636219
"1",1,-489.422971944014,40.6823646711145,0,1.26841792370287,0
