"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + I(can^2)",4,-202.511796306715,0,0.203,4.68485048745936,0.409694299181624
"imp + can + I(imp^2)",4,-202.179730084037,0.332066222677355,0.172,4.69209180184841,0.408781871095239
"imp + can + imp:can",4,-202.040672337077,0.471123969638171,0.16,4.69512753562933,0.408399359217467
"imp + can + I(imp^2) + I(can^2)",5,-201.532843323232,0.978952983482714,0.124,4.66265461708521,0.409693386056026
"can + imp",3,-200.990455522311,1.52134078440363,0.095,4.76221231048977,0.402776910570085
"imp + can + imp:can + I(can^2)",5,-200.847421654283,1.66437465243166,0.088,4.67754291559456,0.407808481038992
"imp + can + imp:can + I(imp^2)",5,-200.396991608068,2.11480469864711,0.07,4.687352750117,0.406566525398728
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-199.679877119738,2.83191918697693,0.049,4.65946701968446,0.407274443175207
"imp",2,-198.249419297024,4.26237700969054,0.024,4.86839182909912,0.39232744990066
"imp + I(imp^2)",3,-197.342917700665,5.16887860604962,0.015,4.84369385862867,0.392558411532598
"can + I(can^2)",3,-176.658067681745,25.8537286249702,0,5.33285226032829,0.331213668199725
"can",2,-159.497723966788,43.0140723399273,0,5.8299248266949,0.272308924448116
"1",1,-92.1467828273026,110.365013479412,0,8.04915102379834,0
