"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + I(imp^2) + I(can^2)",5,-918.762044542347,0,0.414,0.165900871796007,0.223240714158498
"imp + can + imp:can + I(imp^2) + I(can^2)",6,-916.788447307254,1.97359723509305,0.154,0.165880499829624,0.219620001876319
"imp + can + imp:can + I(imp^2)",5,-916.26947385874,2.49257068360748,0.119,0.167835411233242,0.214183067532347
"imp + can + imp:can",4,-915.883822424531,2.87822211781634,0.098,0.169708092352776,0.209180851271971
"imp + can + I(imp^2)",4,-915.81842550274,2.94361903960657,0.095,0.169759720608225,0.208940269856795
"imp + can + imp:can + I(can^2)",5,-914.959194171951,3.8028503703963,0.062,0.168861377739667,0.209379421823916
"imp + I(imp^2)",3,-914.719375579384,4.04266896296338,0.055,0.172224389165608,0.201240801613725
"imp + can + I(can^2)",4,-908.857189993755,9.90485454859231,0.003,0.17534612341387,0.182908309624582
"imp",2,-894.569570114675,24.1924744276721,0,0.190913522883644,0.118719484043024
"can + imp",3,-892.628049155854,26.133995386493,0,0.190861602318225,0.114803302778274
"can + I(can^2)",3,-880.375737781337,38.3863067610098,0,0.202054217524351,0.0628930919585093
"can",2,-878.760779180143,40.0012653622039,0,0.205480230201433,0.0514777551863453
"1",1,-868.390993567437,50.3710509749095,0,0.217649008493659,0
