"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"can + I(can^2)",3,1368.3659522624,0,0.416,7044.79595355045,0.0376497896935648
"imp + can + I(can^2)",4,1370.16788438816,1.80193212576432,0.169,7038.30895249441,0.0339792409662129
"imp + can + I(imp^2) + I(can^2)",5,1371.47490422631,3.10895196391334,0.088,7015.65985215619,0.0325025755049902
"imp + can + imp:can + I(can^2)",5,1372.14628375533,3.78033149292924,0.063,7037.60186277096,0.029476653609488
"imp + I(imp^2)",3,1372.60222683388,4.23627457147995,0.05,7184.98034731389,0.0184999829838421
"imp + can + imp:can + I(imp^2) + I(can^2)",6,1372.72005509964,4.35410283724309,0.047,6991.07157744359,0.0312804814384916
"imp + can + I(imp^2)",4,1372.74610928289,4.38015702049779,0.047,7123.21863959939,0.0223252313255307
"imp + can + imp:can",4,1372.87698982653,4.51103756412863,0.044,7127.5561956459,0.0217298938357039
"can + imp",3,1374.47062566095,6.10467339855632,0.02,7247.6915508986,0.00993335587977395
"imp + can + imp:can + I(imp^2)",5,1374.4765002685,6.11054800610532,0.02,7114.29175438611,0.018900702924015
"1",1,1374.63576931377,6.26981705137268,0.018,7389.46821705426,0
"can",2,1375.38237242219,7.01642015979292,0.012,7346.51476831436,0.00114524737476096
"imp",2,1376.46594490845,8.09999264604926,0.007,7383.63372142393,-0.00390155970250583
