"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can",4,37.481089873925,0,0.352,21.5849934280861,0.306
"imp + can + imp:can + I(can^2)",5,38.7582896704734,1.2771997965484,0.186,20.8621932246345,0.326
"imp + can + imp:can + I(imp^2)",5,39.4210548622647,1.93996498833969,0.133,21.5249584164259,0.304
"imp + can + imp:can + I(imp^2) + I(can^2)",6,40.6884594346963,3.20736956077131,0.071,20.7923629888575,0.325
"imp",2,40.7441003588306,3.26301048490556,0.069,28.8480039129916,0.081
"1",1,41.4304852005361,3.9493953266111,0.049,31.5343887546968,0
"can + imp",3,41.7777975857509,4.29670771182586,0.041,27.881701139912,0.107
"imp + I(imp^2)",3,42.3960449740497,4.9149551001247,0.03,28.4999485282108,0.088
"imp + can + I(imp^2)",4,43.2585479071815,5.77745803325654,0.02,27.3624514613427,0.12
"can",2,43.4304622081426,5.94937233421761,0.018,31.5343657623037,-0.005
"imp + can + I(can^2)",4,43.5156513024607,6.03456142853569,0.017,27.6195548566217,0.112
"imp + can + I(imp^2) + I(can^2)",5,45.1477789046768,7.66668903075175,0.008,27.2516824588379,0.119
"can + I(can^2)",3,45.3325145358615,7.85142466193649,0.007,31.4364180900225,-0.006
