"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp",2,347.168252826295,0,0.25,256.576619763751,0.289
"imp + I(imp^2)",3,347.462150580375,0.293897754079978,0.216,254.870517517831,0.29
"imp + can + I(imp^2) + I(can^2)",5,348.809605087737,1.64135226144191,0.11,252.217972025193,0.291
"can + imp",3,349.091139243933,1.92288641763798,0.096,256.499506181389,0.286
"imp + can + I(can^2)",4,349.36873850836,2.2004856820655,0.083,254.777105445817,0.287
"imp + can + I(imp^2)",4,349.370179671044,2.20192684474875,0.083,254.7785466085,0.287
"imp + can + imp:can + I(can^2)",5,350.505083368408,3.33683054211315,0.047,253.913450305864,0.286
"imp + can + imp:can + I(imp^2) + I(can^2)",6,350.803588401386,3.63533557509083,0.041,252.211955338842,0.288
"imp + can + imp:can",4,350.91758186797,3.74932904167542,0.038,256.325948805427,0.283
"imp + can + imp:can + I(imp^2)",5,351.11745124623,3.94919841993465,0.035,254.525818183686,0.285
"can",2,419.827807018193,72.6595541918978,0,329.236173955649,0.088
"can + I(can^2)",3,421.826177106031,74.657924279736,0,329.234544043487,0.083
"1",1,451.14739071796,103.979137891665,0,362.555757655417,0
