"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"can",2,141.155495185156,0,0.286,99.2233495916805,0.108
"can + I(can^2)",3,143.077541047968,1.92204586281233,0.109,99.1453954544928,0.104
"imp + can + I(imp^2) + I(can^2)",5,143.127366530247,1.97187134509127,0.107,95.1952209367717,0.132
"can + imp",3,143.140781299153,1.98528611399709,0.106,99.2086357056774,0.104
"imp + can + I(imp^2)",4,143.251804546378,2.09630936122196,0.1,97.3196589529024,0.117
"imp + can + imp:can + I(can^2)",5,143.938853541977,2.78335835682137,0.071,96.0067079485018,0.124
"imp + can + imp:can",4,144.169467749484,3.01397256432796,0.063,98.2373221560083,0.108
"imp + can + imp:can + I(imp^2) + I(can^2)",6,144.446873548383,3.29137836322712,0.055,94.5147279549076,0.134
"imp + can + I(can^2)",4,145.026932464169,3.87143727901281,0.041,99.0947868706931,0.101
"imp + can + imp:can + I(imp^2)",5,145.203318747648,4.04782356249191,0.038,97.2711731541723,0.113
"imp",2,147.23416131054,6.07866612538365,0.014,105.302015717064,0.053
"imp + I(imp^2)",3,148.527556217817,7.37206103266078,0.007,104.595410624341,0.055
"1",1,151.665376372299,10.5098811871427,0.001,111.733230778822,0
