"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + I(imp^2)",4,701.802789832865,0,0.422,319.364612571046,0.33
"imp + can + I(imp^2) + I(can^2)",5,703.540016688241,1.73722685537643,0.177,319.101839426423,0.327
"imp + can + imp:can + I(imp^2)",5,703.731501308524,1.92871147565927,0.161,319.293324046706,0.327
"imp + can + imp:can",4,704.949572339565,3.14678250669965,0.088,322.511395077746,0.323
"imp + can + imp:can + I(imp^2) + I(can^2)",6,705.53513987988,3.73235004701473,0.065,319.096962618061,0.324
"can + I(can^2)",3,706.815971617726,5.01318178486133,0.034,326.377794355908,0.318
"imp + can + imp:can + I(can^2)",5,706.915471835318,5.11268200245354,0.033,322.4772945735,0.32
"imp + can + I(can^2)",4,708.733178754323,6.93038892145842,0.013,326.295001492505,0.315
"can",2,711.308162631857,9.50537279899243,0.004,332.869985370039,0.308
"can + imp",3,712.178780039618,10.3759902067532,0.002,331.7406027778,0.307
"imp + I(imp^2)",3,776.702273978648,74.8994841457835,0,396.26409671683,0.172
"imp",2,777.958384089971,76.1555942571056,0,399.520206828152,0.169
"1",1,859.58772259205,157.784932759185,0,483.149545330232,0
