"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can + I(imp^2)",5,1206.48597098283,0,0.414,531.711857780061,0.435
"imp + can + I(imp^2)",4,1207.29971129858,0.813740315752966,0.276,534.525598095814,0.435
"imp + can + I(imp^2) + I(can^2)",5,1208.43151684634,1.94554586350546,0.156,533.657403643566,0.433
"imp + can + imp:can + I(imp^2) + I(can^2)",6,1208.48432313413,1.99835215129792,0.152,531.710209931358,0.432
"imp + can + imp:can",4,1218.6201497513,12.1341787684728,0.001,545.846036548533,0.423
"imp + can + imp:can + I(can^2)",5,1220.52418487811,14.038213895283,0,545.750071675343,0.42
"can + imp",3,1221.86542121078,15.3794502279509,0,551.091308008011,0.42
"imp + can + I(can^2)",4,1222.10451837209,15.6185473892556,0,549.330405169316,0.419
"imp + I(imp^2)",3,1253.77042845225,47.2844574694243,0,582.996315249485,0.386
"imp",2,1262.22875424598,55.7427832631467,0,593.454641043207,0.378
"can + I(can^2)",3,1313.88414662115,107.398175638322,0,643.110033418382,0.323
"can",2,1323.16768493669,116.681713953856,0,654.393571733916,0.314
"1",1,1625.47391719256,418.98794620973,0,958.69980398979,0
