"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can + I(imp^2)",5,374.295422215244,0,0.708,234.889347328703,0.072
"imp + can + imp:can + I(imp^2) + I(can^2)",6,376.259364369147,1.96394215390268,0.265,234.853289482606,0.068
"imp + can + I(imp^2) + I(can^2)",5,382.025364968388,7.72994275314431,0.015,242.619290081847,0.041
"imp + I(imp^2)",3,384.897960068667,10.6025378534233,0.004,249.491885182126,0.024
"imp",2,385.953355428693,11.6579332134488,0.002,252.547280542152,0.016
"imp + can + I(imp^2)",4,386.174464334124,11.8790421188799,0.002,248.768389447583,0.022
"can + imp",3,386.830060084933,12.5346378696889,0.001,251.423985198392,0.016
"imp + can + I(can^2)",4,387.402179104083,13.1067568888391,0.001,249.996104217542,0.017
"imp + can + imp:can",4,388.359602200648,14.0641799854042,0.001,250.953527314107,0.013
"1",1,389.329544008958,15.0341217937142,0,257.923469122416,0
"imp + can + imp:can + I(can^2)",5,389.370640394889,15.0752181796451,0,249.964565508348,0.012
"can",2,390.875510444978,16.580088229734,0,257.469435558437,-0.003
"can + I(can^2)",3,392.498603233781,18.2031810185367,0,257.092528347239,-0.006
