"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + I(can^2)",4,1418.63871276941,0,0.487,608.635822845579,0.048
"imp + can + imp:can + I(can^2)",5,1420.27751341319,1.63880064377872,0.215,608.274623489358,0.044
"imp + can + I(imp^2) + I(can^2)",5,1420.61663780793,1.9779250385227,0.181,608.613747884102,0.043
"imp + can + imp:can + I(imp^2) + I(can^2)",6,1422.02234119826,3.38362842885067,0.09,608.01945127443,0.04
"imp + can + imp:can",4,1426.33734008661,7.69862731720104,0.01,616.33445016278,0.036
"imp + can + I(imp^2)",4,1427.74616742709,9.10745465768377,0.005,617.743277503263,0.033
"can + I(can^2)",3,1427.82642338786,9.18771061845655,0.005,619.823533464036,0.035
"imp + can + imp:can + I(imp^2)",5,1428.33453050148,9.6958177320771,0.004,616.331640577657,0.031
"can + imp",3,1428.69891304684,10.060200277436,0.003,620.696023123015,0.033
"imp + I(imp^2)",3,1444.7743167272,26.1356039577911,0,636.771426803371,0.008
"can",2,1449.12859245763,30.4898796882242,0,643.125702533804,0.003
"imp",2,1450.18672917785,31.5480164084411,0,644.183839254021,0.002
"1",1,1452.22783206015,33.5891192907445,0,648.224942136324,0
