"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can",4,1564.61463851715,0,0.32,1094.76483515103,0.363
"imp + can + I(imp^2)",4,1565.51385767971,0.899219162560485,0.204,1095.66405431359,0.363
"imp + can + imp:can + I(imp^2)",5,1565.84234122161,1.22770270445835,0.173,1093.99253785549,0.361
"imp + can + imp:can + I(can^2)",5,1566.58253657708,1.96789805993421,0.12,1094.73273321096,0.36
"imp + can + I(imp^2) + I(can^2)",5,1566.90502085482,2.29038233767278,0.102,1095.0552174887,0.36
"imp + can + imp:can + I(imp^2) + I(can^2)",6,1567.84102850227,3.2263899851223,0.064,1093.99122513615,0.358
"imp + can + I(can^2)",4,1570.83610810407,6.22146958691792,0.014,1100.98630473795,0.36
"can + imp",3,1575.07097903771,10.4563405205629,0.002,1107.22117567159,0.359
"imp + I(imp^2)",3,1608.34105801079,43.7264194936402,0,1140.49125464467,0.34
"imp",2,1633.44057619201,68.8259376748615,0,1167.59077282589,0.327
"can + I(can^2)",3,1707.89383738296,143.279198865813,0,1240.04403401684,0.282
"can",2,1710.00815542452,145.393516907367,0,1244.15835205839,0.283
"1",1,2207.43385045444,642.819211937294,0,1743.58404708832,0
