"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can",4,361.108327807813,0,0.358,298.938178909721,0.096
"imp + can + imp:can + I(can^2)",5,361.31288737683,0.204559569017192,0.323,297.142738478738,0.097
"imp + can + imp:can + I(imp^2)",5,362.360394060534,1.2520662527204,0.191,298.190245162441,0.094
"imp + can + imp:can + I(imp^2) + I(can^2)",6,363.219399597415,2.11107178960145,0.125,297.049250699322,0.093
"can + I(can^2)",3,372.411266370019,11.3029385622059,0.001,312.241117471926,0.06
"imp + can + I(imp^2) + I(can^2)",5,372.562161786649,11.453833978836,0.001,308.392012888557,0.063
"imp + can + I(can^2)",4,374.410538295645,13.3022104878319,0,312.240389397552,0.055
"imp + I(imp^2)",3,375.113505734763,14.0051779269498,0,314.94335683667,0.052
"imp + can + I(imp^2)",4,376.185840610365,15.0775128025517,0,314.015691712272,0.05
"1",1,391.414363825291,30.3060360174776,0,335.244214927199,0
"can",2,392.350440270647,31.2421124628343,0,334.180291372555,-0.002
"can + imp",3,392.832681762474,31.724353954661,0,332.662532864382,-0.002
"imp",2,393.34447412198,32.2361463141666,0,335.174325223887,-0.004
