"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can + I(imp^2) + I(can^2)",6,48.9183342639097,0,0.456,23.0891743953039,0.472
"imp + can + I(imp^2) + I(can^2)",5,50.6345613796297,1.71622711572006,0.193,26.8054015110238,0.39
"imp + can + I(imp^2)",4,50.9113497577973,1.99301549388767,0.168,29.0821898891915,0.341
"imp + can + imp:can + I(imp^2)",5,51.6367727029942,2.71843843908457,0.117,27.8076128343884,0.367
"imp + I(imp^2)",3,54.9109570931606,5.99262282925098,0.023,35.0817972245547,0.209
"imp + can + imp:can + I(can^2)",5,56.3196554520408,7.40132118813118,0.011,32.4904955834349,0.26
"imp + can + I(can^2)",4,56.3392106328315,7.42087636892182,0.011,34.5100507642255,0.218
"imp + can + imp:can",4,57.1043166842658,8.1859824203561,0.008,35.2751568156599,0.2
"can + imp",3,57.1347457829001,8.21641151899048,0.007,37.3055859142943,0.158
"imp",2,58.8898008180772,9.97146655416753,0.003,41.0606409494715,0.078
"1",1,60.5748346650364,11.6565004011267,0.001,44.7456747964309,0
"can",2,62.0341445230853,13.1158102591757,0.001,44.2049846544794,0.007
"can + I(can^2)",3,62.158503395564,13.2401691316544,0.001,42.3293435269581,0.045
