"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp",2,152.932998666239,0,0.232,112.479718537959,0.098
"can + imp",3,153.209333025015,0.276334358776154,0.202,110.756052896735,0.108
"imp + I(imp^2)",3,154.822094634282,1.88909596804268,0.09,112.368814506001,0.095
"can",2,154.857642825924,1.92464415968516,0.088,114.404362697644,0.083
"imp + can + I(imp^2)",4,155.056509636001,2.12351096976201,0.08,110.603229507721,0.105
"imp + can + imp:can",4,155.085688221746,2.15268955550687,0.079,110.632408093466,0.105
"imp + can + I(can^2)",4,155.087652635607,2.15465396936776,0.079,110.634372507327,0.105
"imp + can + imp:can + I(can^2)",5,156.608399231943,3.67540056570419,0.037,110.155119103663,0.104
"imp + can + I(imp^2) + I(can^2)",5,156.685182532462,3.75218386622296,0.035,110.231902404182,0.104
"can + I(can^2)",3,156.828529091376,3.89553042513666,0.033,114.375248963095,0.079
"imp + can + imp:can + I(imp^2)",5,157.048121616895,4.1151229506556,0.03,110.594841488614,0.101
"imp + can + imp:can + I(imp^2) + I(can^2)",6,158.537939585294,5.60494091905448,0.014,110.084659457013,0.101
"1",1,163.790038798828,10.8570401325893,0.001,125.336758670548,0
