"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + I(imp^2) + I(can^2)",5,933.751016459416,0,0.203,517.939844473183,0.056
"can + imp",3,934.169633175249,0.418616715833764,0.165,522.358461189017,0.057
"imp + can + I(can^2)",4,934.42893238954,0.677915930124868,0.145,520.617760403308,0.056
"imp + can + imp:can + I(can^2)",5,934.988870000484,1.2378535410686,0.109,519.177698014252,0.054
"imp + can + I(imp^2)",4,935.705947441714,1.95493098229849,0.076,521.894775455482,0.054
"imp + can + imp:can + I(imp^2) + I(can^2)",6,935.73439003308,1.98337357366393,0.075,517.923218046847,0.052
"imp + can + imp:can + I(imp^2)",5,936.013376310488,2.26235985107201,0.065,520.202204324255,0.052
"can",2,936.053464594219,2.30244813480329,0.064,526.242292607987,0.055
"imp + can + imp:can",4,936.146973902291,2.39595744287533,0.061,522.335801916058,0.053
"can + I(can^2)",3,937.800430230439,4.04941377102364,0.027,525.989258244207,0.051
"imp",2,940.443578446274,6.69256198685844,0.007,530.632406460042,0.047
"imp + I(imp^2)",3,942.443224929779,8.69220847036354,0.003,530.632052943547,0.042
"1",1,967.152451285032,33.4014348256161,0,559.3412792988,0
