"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp",2,1019.06056589243,0,0.386,420.081718042155,0.179
"can + imp",3,1020.81193830524,1.75137241280265,0.161,419.833090454957,0.175
"imp + I(imp^2)",3,1021.01623153755,1.95566564511489,0.145,420.03738368727,0.175
"imp + can + I(can^2)",4,1022.50736314987,3.44679725743765,0.069,419.528515299593,0.172
"imp + can + imp:can",4,1022.67625496325,3.61568907081778,0.063,419.697407112973,0.172
"imp + can + I(imp^2)",4,1022.72779634896,3.66723045652645,0.062,419.748948498681,0.171
"imp + can + imp:can + I(imp^2)",5,1023.55317258318,4.49260669074488,0.041,418.5743247329,0.17
"imp + can + I(imp^2) + I(can^2)",5,1024.06080034506,5.00023445263105,0.032,419.081952494786,0.169
"imp + can + imp:can + I(can^2)",5,1024.50709176733,5.44652587489281,0.025,419.528243917048,0.168
"imp + can + imp:can + I(imp^2) + I(can^2)",6,1025.48740516455,6.42683927211965,0.016,418.508557314274,0.166
"can",2,1067.9955954164,48.9350295239624,0,469.016747566117,0.083
"can + I(can^2)",3,1068.74973556981,49.6891696773782,0,467.770887719533,0.081
"1",1,1110.7614309036,91.7008650111691,0,513.782583053324,0
