"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"can + imp",3,1650.21738106703,0,0.308,968.331997195457,0.29
"imp + can + imp:can",4,1651.38543883093,1.16805776389697,0.172,967.500054959354,0.288
"imp + can + I(imp^2)",4,1652.13288781996,1.91550675292365,0.118,968.247503948381,0.287
"imp + can + I(can^2)",4,1652.21391657305,1.99653550601352,0.114,968.328532701471,0.287
"imp + can + imp:can + I(can^2)",5,1652.57119836854,2.35381730150698,0.095,966.685814496964,0.285
"imp + can + imp:can + I(imp^2)",5,1652.679297561,2.46191649396269,0.09,966.79391368942,0.285
"imp + can + imp:can + I(imp^2) + I(can^2)",6,1653.51762571655,3.30024464951771,0.059,965.632241844975,0.282
"imp + can + I(imp^2) + I(can^2)",5,1654.11963285319,3.90225178615742,0.044,968.234248981615,0.284
"imp + I(imp^2)",3,1684.81486325924,34.5974821922046,0,1002.92947938766,0.265
"imp",2,1685.73632036597,35.5189392989359,0,1005.85093649439,0.266
"can + I(can^2)",3,1735.78760219591,85.570221128879,0,1053.90221832434,0.228
"can",2,1745.39310109597,95.1757200289362,0,1065.50771722439,0.223
"1",1,2055.27924328035,405.061862213316,0,1377.39385940877,0
