"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can",4,408.946301485347,0,0.468,248.532299588813,0.36
"imp + can + imp:can + I(imp^2)",5,410.899637557266,1.95333607191918,0.176,248.485635660732,0.357
"imp + can + imp:can + I(can^2)",5,410.945150674072,1.99884918872522,0.172,248.531148777538,0.357
"imp + can + imp:can + I(imp^2) + I(can^2)",6,412.899602022194,3.95330053684762,0.065,248.48560012566,0.354
"imp + can + I(imp^2)",4,413.552111677545,4.60581019219802,0.047,253.138109781011,0.348
"imp + I(imp^2)",3,414.08558765627,5.1392861709233,0.036,255.671585759736,0.345
"imp + can + I(imp^2) + I(can^2)",5,414.906553469318,5.96025198397115,0.024,252.492551572784,0.347
"imp + can + I(can^2)",4,418.285022950859,9.33872146551181,0.004,257.871021054325,0.336
"can + imp",3,418.485311264373,9.53900977902583,0.004,260.071309367838,0.333
"imp",2,419.057952248377,10.1116507630301,0.003,262.643950351843,0.33
"can + I(can^2)",3,521.872294757199,112.925993271852,0,363.458292860665,0.068
"can",2,526.207960358778,117.261658873431,0,369.793958462244,0.056
"1",1,548.157731228355,139.211429743009,0,393.743729331821,0
