"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can + I(imp^2)",5,1167.61299474912,0,0.525,2718.14549471319,0.224915943674225
"imp + can + imp:can + I(imp^2) + I(can^2)",6,1168.27503560362,0.662040854502948,0.377,2701.28281965219,0.226038836319983
"imp + can + imp:can",4,1171.68750176492,4.07450701579978,0.068,2796.03786087037,0.206483446206559
"imp + can + imp:can + I(can^2)",5,1173.56685923464,5.9538644855229,0.027,2794.46936570839,0.203152055155191
"imp + can + I(can^2)",4,1180.01212687871,12.3991321295896,0.001,2906.42136216099,0.17515656871123
"imp + I(imp^2)",3,1180.86406566468,13.2510709155627,0.001,2945.23138713336,0.168084994763772
"imp + can + I(imp^2) + I(can^2)",5,1181.47588123075,13.862886481628,0.001,2899.18129809949,0.173293260082866
"imp + can + I(imp^2)",4,1182.735821876,15.1228271268799,0,2943.47513129155,0.164640695662076
"imp",2,1182.89454044054,15.2815456914236,0,3000.9646224706,0.156322104201464
"can + imp",3,1184.03314154739,16.4201467982691,0,2988.96529201386,0.155731842523643
"can + I(can^2)",3,1190.91640930309,23.3034145539739,0,3086.20589322013,0.128265098954669
"can",2,1207.52459075392,39.9115960047993,0,3365.21600043512,0.0539180859062306
"1",1,1218.44823495757,50.8352402084527,0,3573.7023255814,0
