"formulas","k","aic_out","dAIC","w","deviance","D2adj"
"imp + can + imp:can",4,517.667162513247,0,0.38,133.486931018931,0.169868165756072
"imp + can + imp:can + I(can^2)",5,518.872950694565,1.20578818131821,0.208,132.994738807372,0.168990589652772
"imp + can + imp:can + I(imp^2)",5,518.977554608407,1.31039209516007,0.198,133.059460458508,0.168586180413511
"imp + can + imp:can + I(imp^2) + I(can^2)",6,520.524977725621,2.85781521237391,0.091,132.779663719631,0.166364781536835
"imp + can + I(imp^2)",4,521.206766126639,3.53960361339227,0.065,135.702752544815,0.156088359945886
"imp + can + I(imp^2) + I(can^2)",5,522.521956784336,4.85479427108965,0.034,135.271205240331,0.154766229763859
"imp + I(imp^2)",3,523.173079653887,5.50591714064024,0.024,138.229427189522,0.144430246015115
"imp + can + I(can^2)",4,533.355937568507,15.6887750552598,0,143.591810468996,0.10702769104693
"can + I(can^2)",3,539.287624475849,21.6204619626022,0,148.988063476218,0.0778397667794528
"can + imp",3,539.41285247258,21.7456899593334,0,149.074867715096,0.0773024927502394
"imp",2,548.352358653004,30.6851961397574,0,156.856295629789,0.0336974479494273
"1",1,554.729219234323,37.0620567210763,0,163.088372093023,0
"can",2,556.668946805268,39.0017842920214,0,163.042658815595,-0.00441322214101758
